Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,915394000.0,-274848000.0,640546000.0,-408798000.0,-242279000.0,-123073000.0,231748000.0,-55494000.0,-52849000.0,176254000,15670000.0,191924000,-65742000.0,126182000,121308000,121308000,43040000.0,276145000.0,278380000.0,963387000.0,12132109000.0,827281000.0,1615788000.0,14575178000.0,15538565000,589167000.0,357720000.0,1478544000.0,3897835000.0,9340838000.0,10819382000,2549498000.0,2079619000.0,4719183000.0,15538565000,126182000.0,141532000.0,75910000.0,-65358000.0,278266000.0,-353109000.0,-343152000.0,-67724000.0,171423000.0,93442000.0,28556000,2016-06-30,79.30000305175781,81.08000183105469,79.02999877929688,81.05999755859375,67.40969848632811,1087800.0
2016-09-30,1166922000.0,-336120000.0,830802000.0,-379544000.0,-217568000.0,-120428000.0,451258000.0,-56427000.0,-51293000.0,394831000,14515000.0,409346000,-141446000.0,267900000,263027000,263027000,48267000.0,321421000.0,285534000.0,977492000.0,12348810000.0,848730000.0,1630694000.0,14828234000.0,15805726000,513689000.0,134170000.0,1109718000.0,4145366000.0,9703873000.0,10813591000,2552979000.0,2342643000.0,4992135000.0,15805726000,267900000.0,140560000.0,117155000.0,-183040000.0,342575000.0,-283301000.0,-295009000.0,-67780000.0,23668000.0,-42339000.0,5227000,2016-09-30,77.16000366210938,77.44999694824219,75.55999755859375,75.98999786376953,63.69960403442383,951400.0
2016-12-31,739199000.0,-243257000.0,495942000.0,-373126000.0,-208277000.0,-122852000.0,122816000.0,-53570000.0,-50834000.0,69246000,16182000.0,85428000,-27309000.0,58119000,53246000,53246000,8881000.0,247454000.0,282587000.0,822219000.0,12624254000.0,848650000.0,1709130000.0,15182034000.0,16004253000,529356000.0,302200000.0,1292946000.0,4021785000.0,9775395000.0,11068341000,2596030000.0,2255547000.0,4935912000.0,16004253000,58119000.0,142160000.0,21138000.0,36923000.0,258340000.0,-260562000.0,-241612000.0,-71114000.0,43030000.0,-56114000.0,-39386000,2016-12-30,78.26000213623047,78.51000213623047,77.7699966430664,78.02999877929688,65.98688507080078,432300.0
2017-03-31,677728000.0,-212395000.0,465333000.0,-397922000.0,-226071000.0,-127627000.0,67411000.0,-55064000.0,-51864000.0,12347000,20049000.0,32396000,-4211000.0,28185000,23312000,23312000,3028000.0,189229000.0,283254000.0,794996000.0,12630632000.0,875073000.0,1892124000.0,15397829000.0,16192825000,481585000.0,332297000.0,1193813000.0,4273890000.0,10033072000.0,11226885000,2595042000.0,2278867000.0,4965940000.0,16192825000,28185000.0,147861000.0,10427000.0,-46422000.0,140051000.0,-348824000.0,-348684000.0,-71177000.0,285538000.0,202780000.0,-5853000,2017-03-31,83.2300033569336,83.87000274658203,83.0,83.37999725341797,71.11792755126953,584800.0
2017-06-30,944587000.0,-254611000.0,689976000.0,-392719000.0,-220985000.0,-125739000.0,297257000.0,-58307000.0,-54969000.0,238950000,22334000.0,261284000,-88967000.0,172317000,167443000,167443000,4953000.0,291115000.0,288024000.0,1068204000.0,12701356000.0,893420000.0,2006747000.0,15601523000.0,16669727000,547130000.0,689000000.0,1638594000.0,4192520000.0,10041056000.0,11679650000,2604482000.0,2300109000.0,4990077000.0,16669727000,172317000.0,143424000.0,68775000.0,-234005000.0,150511000.0,-344802000.0,-339556000.0,-71343000.0,270897000.0,190970000.0,1925000,2017-06-30,85.18000030517578,85.70999908447266,85.02999877929688,85.16000366210938,73.19200897216797,1062600.0
2017-09-30,1183322000.0,-310469000.0,872853000.0,-413305000.0,-230839000.0,-133912000.0,459548000.0,-59546000.0,-55644000.0,400002000,25262000.0,425264000,-144319000.0,280945000,276072000,276072000,10674000.0,422507000.0,284468000.0,1174205000.0,12898401000.0,932490000.0,1972771000.0,15803662000.0,16977867000,514755000.0,338400000.0,1303143000.0,4491048000.0,10397117000.0,11700260000,2608825000.0,2576193000.0,5277607000.0,16977867000,280945000.0,154422000.0,109762000.0,-63767000.0,481362000.0,-334127000.0,-351399000.0,-71407000.0,-52757000.0,-124242000.0,5721000,2017-09-29,84.7300033569336,85.0,84.19000244140625,84.55999755859375,73.2278823852539,662900.0
2017-12-31,759659000.0,-203826000.0,555833000.0,-445622000.0,-246548000.0,-146840000.0,110211000.0,-64412000.0,-57319000.0,45799000,1478000.0,47277000,-20775000.0,26502000,21629000,21629000,13892000.0,302634000.0,289270000.0,1016288000.0,13188077000.0,923040000.0,1891677000.0,16002794000.0,17019082000,539452000.0,177400000.0,1197852000.0,4789713000.0,10685500000.0,11883352000,2614805000.0,2442511000.0,5135730000.0,17019082000,26502000.0,164922000.0,27198000.0,127490000.0,346112000.0,-381021000.0,-388898000.0,-75866000.0,137761000.0,46004000.0,3218000,2017-12-29,85.33000183105469,85.5,84.87999725341797,85.18000030517578,74.35053253173828,512800.0
2018-03-31,692714000.0,-197110000.0,495604000.0,-464270000.0,-265682000.0,-144825000.0,31334000.0,-58198000.0,-58954000.0,-26864000,33693000.0,6829000,1265000.0,8094000,3221000,3221000,15440000.0,210142000.0,305877000.0,957404000.0,13362542000.0,919616000.0,1908744000.0,16190902000.0,17148306000,451434000.0,951900000.0,1874391000.0,4290533000.0,10120244000.0,11994635000,2620261000.0,2454268000.0,5153671000.0,17148306000,8094000.0,163566000.0,-5010000.0,222000.0,166872000.0,-361037000.0,-361093000.0,-75903000.0,274500000.0,195769000.0,1548000,2018-03-29,79.68000030517578,80.20999908447266,79.4800033569336,79.80000305175781,70.27017974853516,754100.0
2018-06-30,974123000.0,-257087000.0,717036000.0,-474874000.0,-268397000.0,-145436000.0,242162000.0,-57881000.0,-60708000.0,184281000,31370000.0,215651000,-44039000.0,171612000,166738000,166738000,3839000.0,317284000.0,310961000.0,1118711000.0,13450379000.0,932780000.0,1990303000.0,16373462000.0,17492173000,550716000.0,1216249000.0,2238885000.0,4191525000.0,10093854000.0,12332739000,2624672000.0,2465402000.0,5159434000.0,17492173000,171612000.0,161984000.0,20898000.0,-125564000.0,228930000.0,-318912000.0,-318003000.0,-76039000.0,164349000.0,77472000.0,-11601000,2018-06-29,80.30000305175781,81.06999969482422,79.91999816894531,80.55999755859375,71.5487289428711,726600.0
2018-09-30,1268034000.0,-389936000.0,878098000.0,-444791000.0,-246545000.0,-145971000.0,433307000.0,-59710000.0,-61605000.0,373597000,30621000.0,404218000,-84333000.0,319885000,315012000,315012000,64991000.0,365499000.0,308582000.0,1207190000.0,13557414000.0,1013675000.0,1893676000.0,16464765000.0,17671955000,528926000.0,728200000.0,1734788000.0,4487364000.0,10451306000.0,12186094000,2629627000.0,2780428000.0,5485861000.0,17671955000,319885000.0,164311000.0,70033000.0,9732000.0,563961000.0,-218506000.0,-234220000.0,-76095000.0,-192804000.0,-268589000.0,61152000,2018-09-28,78.33000183105469,79.25,78.33000183105469,79.18000030517578,70.93741607666016,851100.0
