Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,201157000.0,-38588000.0,162569000.0,-82108000.0,-8232000.0,-48903000.0,80461000.0,-24208000.0,-24208000.0,56253000,4945000.0,61198000,61198000,58977000,58841000,101281000.0,120135000.0,221416000.0,4915822000.0,29904000.0,230195000.0,5175921000.0,5397337000,543727000.0,2449478000.0,2993205000.0,71597000.0,207056000.0,3200261000,2705211000.0,2197076000.0,5397337000,61198000.0,48903000.0,-4667000.0,-15633000.0,89801000.0,-143628000.0,-1430000.0,-137515000.0,145171000.0,54819000.0,130373000.0,82659000,2016-09-30,156.25,156.58999633789062,153.89999389648438,153.92999267578125,129.97604370117188,698000.0
2016-12-31,204109000.0,-39941000.0,164168000.0,-80691000.0,-8121000.0,-48448000.0,83477000.0,-23753000.0,-23762000.0,59724000,0.0,59724000,59724000,58037000,57902000,23368000.0,116749000.0,140117000.0,5029839000.0,29904000.0,223419000.0,5283162000.0,5423279000,552347000.0,2447711000.0,3000058000.0,71590000.0,203692000.0,3203750000,2719047000.0,2219529000.0,5423279000,59724000.0,48448000.0,-91000.0,26183000.0,134264000.0,-141155000.0,-3726000.0,-151804000.0,-14118000.0,29063000.0,-56406000.0,-73946000,2016-12-30,139.97000122070312,142.80999755859375,139.74000549316406,142.11000061035156,120.84789276123048,440000.0
2017-03-31,207389000.0,-41109000.0,166280000.0,-84736000.0,-8267000.0,-51379000.0,81544000.0,-23652000.0,-23652000.0,57892000,178000.0,58070000,58070000,56190000,56055000,20112000.0,115775000.0,135887000.0,5249115000.0,29904000.0,241294000.0,5520313000.0,5656200000,759859000.0,2445476000.0,3205335000.0,71582000.0,233060000.0,3438395000,2737646000.0,2217805000.0,5656200000,58070000.0,51379000.0,-1917000.0,16401000.0,123933000.0,-276672000.0,-118000.0,-279276000.0,215433000.0,17359000.0,153954000.0,-1389000,2017-03-31,133.33999633789062,134.0,132.36000061035156,133.5,114.40587615966795,416900.0
2017-06-30,208049000.0,-37128000.0,170921000.0,-87831000.0,-8643000.0,-52666000.0,83090000.0,-23953000.0,-23839000.0,59137000,18996000.0,78133000,78133000,76291000,76156000,96326000.0,168996000.0,265322000.0,5283101000.0,30429000.0,224651000.0,5538181000.0,5803503000,541489000.0,2792099000.0,3333588000.0,71573000.0,231193000.0,3564781000,2742528000.0,2238722000.0,5803503000,78133000.0,52666000.0,-18904000.0,2832000.0,114727000.0,-151213000.0,-312000.0,-107423000.0,130053000.0,31000.0,67154000.0,74458000,2017-06-30,128.22999572753906,128.47999572753906,125.97000122070312,126.38999938964844,109.16736602783205,403700.0
2017-09-30,217953000.0,-41250000.0,176703000.0,-92206000.0,-9103000.0,-55611000.0,84497000.0,-26390000.0,-26208000.0,58107000,50775000.0,108882000,108882000,106777000,106600000,22850000.0,200878000.0,223728000.0,5699765000.0,30429000.0,267215000.0,5997409000.0,6221137000,600625000.0,2871179000.0,3471804000.0,71565000.0,263727000.0,3735531000,2774618000.0,2485606000.0,6221137000,108882000.0,55611000.0,-54014000.0,-9668000.0,100811000.0,-398428000.0,-72000.0,-322701000.0,40624000.0,179255000.0,147016000.0,-74874000,2017-09-29,124.05999755859376,125.16000366210938,123.58000183105469,124.20999908447266,108.15221405029295,325500.0
2017-12-31,223957000.0,-45403000.0,178554000.0,-95397000.0,-10268000.0,-56394000.0,83157000.0,-26072000.0,-25951000.0,57085000,-4300000.0,52785000,52785000,50656000,48645000,15188000.0,209877000.0,225065000.0,5758517000.0,30429000.0,261744000.0,6050690000.0,6275755000,592528000.0,2892945000.0,3485473000.0,71556000.0,257611000.0,3743084000,2856054000.0,2532671000.0,6275755000,52785000.0,56394000.0,6929000.0,3249000.0,119357000.0,-130395000.0,-194000.0,-128522000.0,8766000.0,66929000.0,1321000.0,-7844000,2017-12-29,132.67999267578122,133.13999938964844,131.97000122070312,132.80999755859378,116.5124282836914,292400.0
2018-03-31,225405000.0,-44773000.0,180632000.0,-94487000.0,-7929000.0,-58110000.0,86145000.0,-26530000.0,-26005000.0,59615000,3316000.0,62931000,62931000,61247000,59237000,64407000.0,143148000.0,207555000.0,5799847000.0,30429000.0,255794000.0,6086070000.0,6293625000,639424000.0,2881471000.0,3520895000.0,71547000.0,258079000.0,3778974000,2860452000.0,2514651000.0,6293625000,62931000.0,58110000.0,-1054000.0,4193000.0,124180000.0,-89313000.0,-180000.0,-46178000.0,50022000.0,1336000.0,-29502000.0,48500000,2018-03-29,117.19000244140624,117.27999877929688,115.37000274658205,116.11000061035156,102.7374496459961,463800.0
2018-06-30,224902000.0,-39905000.0,184997000.0,-95101000.0,-8413000.0,-58381000.0,89896000.0,-28335000.0,-27607000.0,61561000,3972000.0,65533000,65533000,63595000,61584000,56116000.0,149861000.0,205977000.0,5774937000.0,30429000.0,291360000.0,6096726000.0,6302703000,622811000.0,2880557000.0,3503368000.0,71538000.0,270326000.0,3773694000,2885508000.0,2529009000.0,6302703000,65533000.0,58381000.0,10197000.0,4820000.0,138931000.0,-98196000.0,60000.0,-32517000.0,-15430000.0,21156000.0,-71152000.0,35262000,2018-06-29,125.7300033569336,127.18000030517578,125.11000061035156,126.5500030517578,112.9124984741211,778500.0
2018-09-30,229753000.0,-41909000.0,187844000.0,-97502000.0,-7638000.0,-60778000.0,90342000.0,-29287000.0,-27847000.0,61055000,3125000.0,64180000,64180000,62558000,60548000,41872000.0,151403000.0,193275000.0,5742233000.0,30429000.0,319727000.0,6092389000.0,6285664000,567975000.0,2879622000.0,3447597000.0,71529000.0,263180000.0,3710777000,2947296000.0,2574887000.0,6285664000,64180000.0,60778000.0,-1259000.0,-22094000.0,101605000.0,-84296000.0,-496000.0,-33078000.0,-64229000.0,59136000.0,-82688000.0,-14161000,2018-09-28,124.23999786376952,126.48999786376952,124.23999786376952,126.47000122070312,113.74888610839844,409300.0
2018-12-31,235376000.0,-46507000.0,188869000.0,-105531000.0,-9620000.0,-66976000.0,83338000.0,-28458000.0,-27753000.0,54880000,1502000.0,56382000,56382000,54507000,52496000,64087000.0,142237000.0,206324000.0,5760329000.0,30429000.0,292562000.0,6083320000.0,6289644000,535156000.0,2878658000.0,3413814000.0,71519000.0,272292000.0,3686106000,3005187000.0,2603538000.0,6289644000,56382000.0,66976000.0,99000.0,28515000.0,151972000.0,67819000.0,616000.0,-80474000.0,-27983000.0,49290000.0,-57967000.0,13531000,2018-12-31,119.5199966430664,119.5199966430664,116.37000274658205,118.04000091552734,107.07447052001952,488100.0
2019-03-31,232227000.0,-44260000.0,187967000.0,-96874000.0,-9565000.0,-59622000.0,91093000.0,-29290000.0,-27856000.0,61803000,0.0,61803000,61803000,60144000,58134000,43003000.0,137779000.0,180782000.0,5739009000.0,30429000.0,401146000.0,6170584000.0,6351366000,533682000.0,2857453000.0,3391135000.0,0.0,323960000.0,3715095000,3072733000.0,2636271000.0,6351366000,61803000.0,59622000.0,3664000.0,-20170000.0,104919000.0,-102617000.0,-300000.0,-104037000.0,-1718000.0,59427000.0,-27002000.0,-26120000,2019-03-29,138.71000671386722,139.28999328613278,137.61000061035156,137.85000610351562,126.00333404541016,490700.0
2019-06-30,230465000.0,-41438000.0,189027000.0,-95645000.0,-11422000.0,-59057000.0,93382000.0,-26912000.0,-27293000.0,66470000,16197000.0,82667000,82667000,80902000,78891000,105903000.0,138870000.0,244773000.0,5726369000.0,30429000.0,382170000.0,6138968000.0,6383741000,260049000.0,3153620000.0,3413669000.0,0.0,324716000.0,3738385000,3089698000.0,2645356000.0,6383741000,82667000.0,59057000.0,-16670000.0,12314000.0,137368000.0,-92798000.0,-607000.0,-9331000.0,694000.0,9034000.0,-69980000.0,58057000,2019-06-28,128.5,129.38999938964844,128.03999328613278,128.75999450683594,118.58790588378906,748700.0
2019-09-30,233947000.0,-54484000.0,179463000.0,-99738000.0,-11060000.0,-59648000.0,79725000.0,-26912000.0,-26663000.0,52813000,14293000.0,67106000,67106000,65465000,63455000,162543000.0,143855000.0,306398000.0,5854250000.0,30429000.0,416488000.0,6301167000.0,6607565000,307147000.0,3273022000.0,3580169000.0,0.0,331993000.0,3912162000,3168218000.0,2695403000.0,6607565000,67106000.0,59648000.0,-16639000.0,-8096000.0,102019000.0,-129829000.0,-73000.0,-113898000.0,97633000.0,71268000.0,78526000.0,66647000,2019-09-30,136.33000183105472,137.1199951171875,135.8699951171875,136.13999938964844,126.36579132080078,367800.0
