Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2014-09-30,937908000.0,-472608000.0,465300000.0,-319194000.0,-319194000.0,146106000.0,-4890000.0,-1535000.0,141216000,141216000,-52111000.0,89105000,89105000,89105000,249469000.0,449221000.0,637459000.0,1463903000.0,264629000.0,249578000.0,514207000.0,1978110000,416986000.0,19524000.0,490479000.0,172124000.0,233490000.0,723969000,490650000.0,770484000.0,1254141000.0,1978110000,89105000.0,18044000.0,18489000.0,-152468000.0,-26830000.0,-28159000.0,-28159000.0,-4989000.0,3864000.0,5630000.0,-50965000
2014-12-31,895201000.0,-448937000.0,446264000.0,-299965000.0,-299965000.0,146299000.0,-4155000.0,-1727000.0,142144000,142144000,-54435000.0,87709000,87709000,87709000,593175000.0,279835000.0,536714000.0,1549399000.0,305564000.0,240120000.0,545684000.0,2095083000,358113000.0,28951000.0,421627000.0,255250000.0,323156000.0,744783000,508421000.0,856687000.0,1350300000.0,2095083000,87709000.0,19702000.0,41643000.0,142475000.0,291529000.0,-44068000.0,-44068000.0,92553000.0,1716000.0,98179000.0,343706000
2015-03-31,804941000.0,-427277000.0,377664000.0,-349997000.0,-349997000.0,27667000.0,-4050000.0,-2210000.0,23617000,23617000,-11889000.0,11728000,11728000,11728000,224927000.0,395917000.0,577947000.0,1434479000.0,359489000.0,750570000.0,1110059000.0,2544538000,389533000.0,43347000.0,448219000.0,379984000.0,711793000.0,1160012000,555000000.0,856640000.0,1384526000.0,2544538000,11728000.0,21308000.0,40527000.0,-250089000.0,-176526000.0,-71113000.0,-617335000.0,392645000.0,2922000.0,429234000.0,-368248000
2015-06-30,783577000.0,-404524000.0,379053000.0,-347152000.0,-347152000.0,31901000.0,-4221000.0,-4262000.0,27680000,27680000,-12914000.0,14766000,14766000,14766000,149085000.0,353406000.0,836605000.0,1557936000.0,430536000.0,770437000.0,1200973000.0,2758909000,526255000.0,42737000.0,591295000.0,669654000.0,752034000.0,1343329000,572335000.0,870640000.0,1415580000.0,2758909000,14766000.0,24756000.0,-4577000.0,-38332000.0,-3387000.0,-96693000.0,-112082000.0,38894000.0,2022000.0,43974000.0,-75842000
2015-09-30,1204109000.0,-616949000.0,587160000.0,-415763000.0,-415763000.0,171397000.0,-7339000.0,-4100000.0,164058000,164058000,-63581000.0,100477000,100477000,100477000,159398000.0,551188000.0,867082000.0,1773111000.0,478418000.0,780834000.0,1259252000.0,3032363000,462551000.0,42124000.0,848604000.0,559411000.0,648505000.0,1497109000,603195000.0,971117000.0,1535254000.0,3032363000,100477000.0,26147000.0,38272000.0,-298431000.0,-133535000.0,-61597000.0,-51404000.0,188934000.0,2583000.0,194613000.0,10313000
2015-12-31,1170686000.0,-609016000.0,561670000.0,-384088000.0,-384088000.0,177582000.0,-6252000.0,-4056000.0,171330000,171330000,-65728000.0,105602000,105602000,105602000,129852000.0,433638000.0,783031000.0,1498763000.0,538531000.0,828676000.0,1367207000.0,2865970000,393395000.0,42000000.0,478810000.0,624070000.0,718938000.0,1197748000,636702000.0,1076533000.0,1668222000.0,2865970000,105602000.0,28729000.0,101944000.0,91714000.0,327989000.0,-72078000.0,-66654000.0,-235675000.0,2783000.0,-286388000.0,-29546000
2016-03-31,1047702000.0,-567066000.0,480636000.0,-445753000.0,-445753000.0,34883000.0,-1830000.0,-4532000.0,33053000,33053000,-13873000.0,19180000,19180000,19180000,157001000.0,566286000.0,834287000.0,1768783000.0,601910000.0,847431000.0,1449341000.0,3218124000,408319000.0,27000000.0,605900000.0,217525000.0,870907000.0,1476807000,703118000.0,1082027000.0,1741317000.0,3218124000,19180000.0,32021000.0,45978000.0,-224711000.0,-127532000.0,-104573000.0,-103156000.0,269500000.0,3954000.0,258511000.0,27149000
2016-06-30,1000783000.0,-523136000.0,477647000.0,-458269000.0,-458269000.0,19378000.0,-8709000.0,-5754000.0,10669000,10669000,-4325000.0,6344000,6344000,6344000,121216000.0,460955000.0,1086749000.0,1849185000.0,712873000.0,864866000.0,1577739000.0,3426924000,502286000.0,27000000.0,709354000.0,838116000.0,946222000.0,1655576000,787237000.0,1029371000.0,1771348000.0,3426924000,6344000.0,35716000.0,46197000.0,-58640000.0,29617000.0,-150448000.0,-145383000.0,85724000.0,3646000.0,80027000.0,-35785000
2016-09-30,1471573000.0,-772949000.0,698624000.0,-499314000.0,-499314000.0,199310000.0,-8961000.0,-8189000.0,190349000,190349000,-62124000.0,128225000,128225000,128225000,179954000.0,713731000.0,970621000.0,2026561000.0,751286000.0,907490000.0,1658776000.0,3685337000,492506000.0,27000000.0,857250000.0,796768000.0,904933000.0,1762183000,816535000.0,1156650000.0,1923154000.0,3685337000,128224000.0,37645000.0,376000.0,-104363000.0,61882000.0,-67503000.0,-67503000.0,58313000.0,5422000.0,63735000.0,58738000
2016-12-31,1313280000.0,-721573000.0,591707000.0,-427807000.0,-427807000.0,163900000.0,-9689000.0,-7959000.0,154211000,154211000,-50981000.0,103230000,103230000,103230000,250470000.0,622685000.0,917491000.0,1965153000.0,804211000.0,874967000.0,1679178000.0,3644331000,618429000.0,27000000.0,685816000.0,790388000.0,927615000.0,1613431000,823629000.0,1259414000.0,2030900000.0,3644331000,103231000.0,39388000.0,39772000.0,220265000.0,402656000.0,-65097000.0,-65097000.0,-256686000.0,2463000.0,-256159000.0,72771000
