Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-06-30,32574000000.0,-24452000000.0,8122000000.0,-5570000000.0,-5206000000.0,-364000000.0,2552000000.0,-155000000.0,-155000000.0,2397000000,2397000000,-989000000.0,1408000000,1408000000,1408000000,8289000000.0,5383000000.0,22851000000.0,4267000000.0,19274000000.0,39074000000.0,62615000000.0,85466000000,9625000000.0,2117000000.0,30776000000.0,14630000000.0,20452000000.0,51228000000,10000000.0,33215000000.0,34238000000.0,85466000000,1408000000.0,364000000.0,-130000000.0,-628000000.0,1014000000.0,-363000000.0,314000000.0,-178000000.0,-275000000.0,-366000000.0,-110000000.0,-975000000.0,-1849000000.0,-1102000000,2014-06-30,82.27999877929688,82.54000091552734,81.5999984741211,81.75,73.22462463378906,3916100.0
2014-09-30,32759000000.0,-24047000000.0,8712000000.0,-5809000000.0,-5436000000.0,-373000000.0,2903000000.0,-152000000.0,-152000000.0,2751000000,2751000000,-1149000000.0,1602000000,1602000000,1602000000,9212000000.0,3826000000.0,22963000000.0,4309000000.0,19346000000.0,38808000000.0,62463000000.0,85426000000,8394000000.0,2925000000.0,31130000000.0,14592000000.0,20306000000.0,51436000000,10000000.0,33578000000.0,33990000000.0,85426000000,1602000000.0,373000000.0,103000000.0,1122000000.0,3200000000.0,-405000000.0,-207000000.0,-328000000.0,-980000000.0,-362000000.0,816000000.0,-954000000.0,-1388000000.0,821000000,2014-09-30,86.68000030517578,87.08000183105469,86.12000274658203,86.25,77.58386993408203,2843200.0
2014-12-31,33433000000.0,-24860000000.0,8573000000.0,-5808000000.0,-5427000000.0,-381000000.0,2765000000.0,-151000000.0,-151000000.0,2614000000,2614000000,-1104000000.0,1510000000,1510000000,1510000000,9236000000.0,4252000000.0,23556000000.0,4418000000.0,18827000000.0,39581000000.0,62826000000.0,86382000000,9247000000.0,1399000000.0,30623000000.0,16007000000.0,21917000000.0,52540000000,10000000.0,33836000000.0,33842000000.0,86382000000,1510000000.0,381000000.0,40000000.0,498000000.0,2429000000.0,-404000000.0,546000000.0,-1072000000.0,-676000000.0,-358000000.0,-152000000.0,-922000000.0,-1483000000.0,262000000,2014-12-31,103.12000274658205,103.68000030517578,101.02999877929688,101.08999633789062,91.2756805419922,2313900.0
2015-03-31,35756000000.0,-26904000000.0,8852000000.0,-6212000000.0,-5834000000.0,-378000000.0,2640000000.0,-150000000.0,-150000000.0,2490000000,2490000000,-1077000000.0,1413000000,1413000000,1413000000,10430000000.0,5040000000.0,26774000000.0,4245000000.0,19416000000.0,39284000000.0,62945000000.0,89719000000,10518000000.0,2797000000.0,34978000000.0,15577000000.0,21411000000.0,56389000000,10000000.0,34153000000.0,33330000000.0,89719000000,1413000000.0,378000000.0,357000000.0,121000000.0,2269000000.0,-373000000.0,-545000000.0,-575000000.0,-1525000000.0,-357000000.0,778000000.0,-704000000.0,496000000.0,1155000000,2015-03-31,120.8000030517578,120.93000030517578,118.22000122070312,118.29000091552734,107.16313934326172,4573100.0
2015-06-30,36263000000.0,-27251000000.0,9012000000.0,-6117000000.0,-5738000000.0,-379000000.0,2895000000.0,-151000000.0,-151000000.0,2744000000,2744000000,-1159000000.0,1585000000,1585000000,1585000000,9802000000.0,6034000000.0,27566000000.0,4473000000.0,18996000000.0,40388000000.0,63857000000.0,91423000000,10901000000.0,2693000000.0,35741000000.0,15378000000.0,21047000000.0,56788000000,65000000.0,35262000000.0,34635000000.0,91423000000,1585000000.0,379000000.0,-128000000.0,-673000000.0,1163000000.0,-343000000.0,141000000.0,-1203000000.0,-1325000000.0,-476000000.0,-108000000.0,-7000000.0,-617000000.0,-763000000,2015-06-30,122.41999816894531,122.94000244140624,121.0,122.0,110.99230194091795,4982600.0
2015-09-30,41489000000.0,-31841000000.0,9648000000.0,-6630000000.0,-6178000000.0,-452000000.0,3018000000.0,-229000000.0,-229000000.0,2789000000,2789000000,-1171000000.0,1618000000,1597000000,1597000000,9925000000.0,6752000000.0,29935000000.0,4532000000.0,18535000000.0,55270000000.0,78337000000.0,108272000000,11300000000.0,5767000000.0,39953000000.0,26015000000.0,33626000000.0,73579000000,79000000.0,36382000000.0,34693000000.0,108272000000,1618000000.0,452000000.0,194000000.0,533000000.0,2797000000.0,-356000000.0,290000000.0,-14405000000.0,-14570000000.0,-477000000.0,13561000000.0,-53000000.0,11951000000.0,96000000,2015-09-30,115.38999938964844,116.91999816894531,114.87999725341795,116.01000213623048,105.99930572509766,4638600.0
2015-12-31,43599000000.0,-34085000000.0,9514000000.0,-7046000000.0,-6562000000.0,-484000000.0,2468000000.0,-260000000.0,-260000000.0,2208000000,2208000000,-956000000.0,1252000000,1218000000,1218000000,12911000000.0,6523000000.0,31639000000.0,4861000000.0,18792000000.0,55962000000.0,79615000000.0,111254000000,11994000000.0,6634000000.0,42898000000.0,25331000000.0,32895000000.0,75793000000,39000000.0,37125000000.0,35461000000.0,111254000000,1252000000.0,484000000.0,-325000000.0,2100000000.0,3511000000.0,-484000000.0,-417000000.0,19000000.0,-975000000.0,-476000000.0,376000000.0,-34000000.0,409000000.0,2940000000,2015-12-31,118.63999938964844,119.37000274658205,117.36000061035156,117.63999938964844,107.95291900634766,2372500.0
2016-03-31,44527000000.0,-34307000000.0,10220000000.0,-7260000000.0,-6758000000.0,-502000000.0,2960000000.0,-259000000.0,-259000000.0,2701000000,2701000000,-1074000000.0,1627000000,1611000000,1611000000,13014000000.0,7777000000.0,33745000000.0,4976000000.0,20895000000.0,58239000000.0,84110000000.0,117855000000,13740000000.0,6504000000.0,46285000000.0,27218000000.0,34679000000.0,80964000000,10000000.0,37963000000.0,36891000000.0,117855000000,1627000000.0,502000000.0,308000000.0,-119000000.0,2318000000.0,-425000000.0,-2073000000.0,-1697000000.0,-4181000000.0,-477000000.0,1599000000.0,-302000000.0,1502000000.0,-327000000,2016-03-31,129.63999938964844,129.97000122070312,128.28999328613278,128.89999389648438,118.77384185791016,3181800.0
2016-06-30,46485000000.0,-35978000000.0,10507000000.0,-7304000000.0,-6793000000.0,-511000000.0,3203000000.0,-271000000.0,-271000000.0,2932000000,2932000000,-1172000000.0,1760000000,1754000000,1754000000,10974000000.0,9346000000.0,33298000000.0,5189000000.0,22211000000.0,58905000000.0,86305000000.0,119603000000,14366000000.0,6364000000.0,47376000000.0,26834000000.0,34196000000.0,81572000000,10000000.0,38579000000.0,38031000000.0,119603000000,1760000000.0,511000000.0,-207000000.0,-381000000.0,1683000000.0,-388000000.0,-1508000000.0,-338000000.0,-2232000000.0,-594000000.0,-591000000.0,-424000000.0,-1861000000.0,-2379000000,2016-06-30,140.67999267578122,141.30999755859375,140.24000549316406,141.1999969482422,130.70008850097656,4730800.0
2016-09-30,46293000000.0,-35165000000.0,11128000000.0,-7548000000.0,-7033000000.0,-515000000.0,3580000000.0,-269000000.0,-269000000.0,3311000000,3311000000,-1333000000.0,1978000000,1968000000,1968000000,15667000000.0,7347000000.0,35768000000.0,5524000000.0,23324000000.0,59026000000.0,87874000000.0,123642000000,12994000000.0,7202000000.0,51096000000.0,26022000000.0,33055000000.0,84151000000,10000000.0,39945000000.0,39491000000.0,123642000000,1978000000.0,515000000.0,-205000000.0,4915000000.0,7203000000.0,-407000000.0,-1188000000.0,-692000000.0,-2328000000.0,-595000000.0,69000000.0,-4000000.0,-301000000.0,4579000000,2016-09-30,139.17999267578122,140.47999572753906,138.41999816894528,140.0,130.18772888183594,4164100.0
