Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,2304806000.0,-1398990000.0,905816000.0,-664291000.0,-434412000.0,-52501000.0,241525000.0,-24187000.0,-24649000.0,217338000,-9080000.0,208258000,-70262000.0,137810000,142785000,142785000,273203000.0,995153000.0,1890536000.0,3298428000.0,1055046000.0,3832470000.0,4887516000.0,8185944000,1066756000.0,60832000.0,1168382000.0,3274629000.0,3709923000.0,4878305000,1114288000.0,2374853000.0,3307639000.0,8185944000,142785000.0,57716000.0,11546000.0,15024000.0,227071000.0,-51926000.0,-665106000.0,-716481000.0,-16824000.0,1687000.0,538114000.0,43983000,2016-06-30,31.520000457763672,32.610000610351555,31.190000534057607,31.70000076293945,31.70000076293945,2499000.0
2016-09-30,2207343000.0,-1351899000.0,855444000.0,-665120000.0,-430897000.0,-52979000.0,190324000.0,-23751000.0,-24761000.0,166573000,-6923000.0,159650000,-49835000.0,109844000,122688000,122688000,271851000.0,959321000.0,1912568000.0,3295541000.0,1023707000.0,3884704000.0,4908411000.0,8203952000,1027565000.0,74829000.0,1149208000.0,3189345000.0,3627467000.0,4776675000,1113915000.0,2504028000.0,3427277000.0,8203952000,122688000.0,59488000.0,5155000.0,-25095000.0,162236000.0,-50427000.0,-32286000.0,-83185000.0,-86457000.0,2636000.0,-82798000.0,-1352000,2016-09-30,35.459999084472656,35.599998474121094,35.20000076293945,35.459999084472656,35.459999084472656,1916400.0
2016-12-31,2150406000.0,-1320400000.0,830006000.0,-661178000.0,-434222000.0,-54265000.0,168828000.0,-26375000.0,-24261000.0,142453000,1259000.0,143712000,-47341000.0,96298000,86331000,86331000,227400000.0,860549000.0,1935237000.0,3567594000.0,811576000.0,3740562000.0,4735605000.0,8303199000,961629000.0,66109000.0,1210785000.0,3275662000.0,3649465000.0,4860250000,1119765000.0,2590359000.0,3442949000.0,8303199000,86331000.0,55716000.0,20557000.0,-51741000.0,110863000.0,-54328000.0,-233883000.0,-285238000.0,131045000.0,438000.0,137255000.0,-37335000,2016-12-30,30.989999771118164,31.239999771118164,30.540000915527344,30.649999618530273,30.649999618530273,1142900.0
2017-03-31,2342843000.0,-1412750000.0,930093000.0,-691473000.0,-642817000.0,-48656000.0,238620000.0,-22942000.0,-23988000.0,215678000,-2928000.0,212750000,-72155000.0,140809000,136278000,136278000,264614000.0,973670000.0,1978465000.0,3318126000.0,809208000.0,3809650000.0,4804120000.0,8122246000,984112000.0,91988000.0,1159701000.0,2933277000.0,3355674000.0,4515375000,1125870000.0,2726637000.0,3606871000.0,8122246000,136278000.0,50604000.0,17208000.0,-31797000.0,172293000.0,-44398000.0,224241000.0,181157000.0,-330206000.0,2464000.0,-326386000.0,30098000,2017-03-31,29.6200008392334,29.790000915527344,29.239999771118164,29.270000457763672,29.270000457763672,3239200.0
2017-06-30,2458411000.0,-1493402000.0,965009000.0,-717915000.0,-664270000.0,-53645000.0,247094000.0,-21865000.0,-24596000.0,225229000,556000.0,225785000,-75862000.0,150914000,150914000,150914000,303544000.0,1001246000.0,2063462000.0,3500735000.0,841608000.0,3906603000.0,4930207000.0,8430942000,1077759000.0,96860000.0,1221660000.0,2890708000.0,3352597000.0,4574257000,1133404000.0,2877551000.0,3856685000.0,8430942000,150914000.0,56002000.0,-925000.0,-16187000.0,189804000.0,-47147000.0,-23672000.0,-67421000.0,-98532000.0,2687000.0,-96690000.0,38930000,2017-06-30,32.59000015258789,33.09000015258789,32.5,32.950000762939446,32.950000762939446,1724400.0
2017-09-30,2465800000.0,-1508924000.0,956876000.0,-752855000.0,-695978000.0,-56877000.0,204021000.0,-22115000.0,-25222000.0,181906000,-4009000.0,177897000,-58189000.0,122381000,122381000,122381000,275077000.0,1021728000.0,2236376000.0,3668373000.0,867972000.0,4128347000.0,5195565000.0,8863938000,1123668000.0,126887000.0,1302338000.0,3021717000.0,3520563000.0,4822901000,1138717000.0,2999932000.0,4041037000.0,8863938000,122381000.0,59902000.0,-2103000.0,-93034000.0,87146000.0,-43992000.0,-159053000.0,-197893000.0,67464000.0,1314000.0,76013000.0,-28467000,2017-09-29,35.790000915527344,36.04999923706055,35.61000061035156,35.9900016784668,35.9900016784668,1099200.0
2017-12-31,2469855000.0,-1522210000.0,947645000.0,-770390000.0,87366000.0,-60368000.0,177255000.0,-17183000.0,-27834000.0,160072000,-9877000.0,150195000,-29354000.0,122870000,124171000,124171000,279766000.0,1027106000.0,2380783000.0,3822134000.0,913089000.0,4423245000.0,5544738000.0,9366872000,1150637000.0,126360000.0,1322724000.0,3277620000.0,3837495000.0,5160219000,1144542000.0,3124103000.0,4206653000.0,9366872000,120655000.0,63695000.0,-29202000.0,-85491000.0,69657000.0,-43553000.0,-260971000.0,-300438000.0,232468000.0,1005000.0,234496000.0,4689000,2017-12-29,41.209999084472656,41.38000106811523,40.63000106811523,40.66999816894531,40.66999816894531,1146500.0
2018-03-31,2720764000.0,-1666793000.0,1053971000.0,-823349000.0,-766891000.0,-56458000.0,230622000.0,-25633000.0,-28515000.0,204989000,-4054000.0,200935000,-49584000.0,152763000,152960000,152960000,245679000.0,1211788000.0,2401309000.0,4039143000.0,929756000.0,4459069000.0,5597035000.0,9636178000,1192165000.0,142277000.0,1474788000.0,3170788000.0,3742409000.0,5217197000,1149487000.0,3271718000.0,4418981000.0,9636178000,152763000.0,61066000.0,2848000.0,-71514000.0,145163000.0,-62189000.0,-2966000.0,-64621000.0,-119852000.0,2255000.0,-117506000.0,-34087000,2018-03-29,37.75,38.25,37.27999877929688,37.95000076293945,37.95000076293945,1800100.0
2018-06-30,3030751000.0,-1868872000.0,1161879000.0,-889207000.0,-826044000.0,-63163000.0,272672000.0,-39027000.0,-38272000.0,233645000,-15550000.0,218095000,-60775000.0,157866000,157007000,157007000,345202000.0,1301514000.0,2718158000.0,4593606000.0,1188464000.0,5563908000.0,6955025000.0,11548631000,1457639000.0,177372000.0,1788308000.0,4261176000.0,4983348000.0,6771656000,1406808000.0,3428725000.0,4776975000.0,11548631000,157866000.0,68438000.0,13352000.0,-56150000.0,183506000.0,-53232000.0,-1133004000.0,-1184596000.0,1187759000.0,667000.0,1171849000.0,99523000,2018-06-29,31.8700008392334,32.220001220703125,31.78000068664551,31.899999618530273,31.899999618530273,1987800.0
2018-09-30,3122378000.0,-1925180000.0,1197198000.0,-955851000.0,-879150000.0,-76701000.0,241347000.0,-33901000.0,-40860000.0,207446000,-6614000.0,200832000,-46068000.0,134480000,134102000,134102000,341346000.0,1255876000.0,2794894000.0,4593060000.0,1201003000.0,5633864000.0,6992276000.0,11585336000,1453495000.0,118365000.0,1735680000.0,4250137000.0,4952240000.0,6687920000,1412424000.0,3562827000.0,4897416000.0,11585336000,134480000.0,81473000.0,16872000.0,-40327000.0,192498000.0,-56342000.0,-81163000.0,-122299000.0,-73841000.0,850000.0,-75029000.0,-3856000,2018-09-28,31.6299991607666,31.96999931335449,31.40999984741211,31.670000076293945,31.670000076293945,2647100.0
2018-12-31,3002781000.0,-1840972000.0,1161809000.0,-958537000.0,-880646000.0,-77891000.0,203272000.0,-38899000.0,-38730000.0,164373000,-40804000.0,123569000,-34968000.0,42456000,36049000,36049000,331761000.0,1154083000.0,2836075000.0,4520949000.0,1220162000.0,5473122000.0,6872453000.0,11393402000,1402828000.0,121826000.0,1690348000.0,4188674000.0,4864302000.0,6554650000,1418372000.0,3598876000.0,4838752000.0,11393402000,38059000.0,83100000.0,100113000.0,-31700000.0,189572000.0,-50605000.0,-58162000.0,-87423000.0,-45149000.0,-63772000.0,-96319000.0,-4096000,2018-12-31,24.1200008392334,24.25,23.31999969482422,23.729999542236328,23.729999542236328,2979900.0
2019-03-31,3100303000.0,-1892039000.0,1208264000.0,-967534000.0,-896532000.0,-71002000.0,240730000.0,-32238000.0,-36089000.0,208492000,-18330000.0,190162000,-51550000.0,99063000,98048000,98048000,316066000.0,1353491000.0,2692006000.0,4644770000.0,1206342000.0,6680564000.0,8021140000.0,12665910000,1413540000.0,136283000.0,1971488000.0,5202580000.0,5837648000.0,7809136000,1423874000.0,3696924000.0,4856774000.0,12665910000,99063000.0,76207000.0,-145092000.0,147047000.0,177225000.0,-53016000.0,-4785000.0,-57784000.0,-67421000.0,-70462000.0,-132731000.0,-15803000,2019-03-29,28.420000076293945,28.540000915527344,28.20000076293945,28.3799991607666,28.3799991607666,3601100.0
