Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-04-30,12000000000.0,-4279000000.0,7721000000.0,-4737000000.0,-3013000000.0,-1626000000.0,2984000000.0,99000000.0,95000000.0,3083000000,3083000000,-734000000.0,2349000000,2349000000,2349000000,63512000000.0,4047000000.0,1343000000.0,78571000000.0,3529000000.0,36554000000.0,40083000000.0,118654000000,3904000000.0,4164000000.0,24003000000.0,24431000000.0,32293000000.0,56296000000,44137000000.0,18448000000.0,62358000000.0,118654000000,2349000000.0,541000000.0,252000000.0,-78000000.0,424000000.0,36000000.0,33000000.0,-571000000.0,3064000000.0,-304000000.0,81000000.0,-2072000000.0,-2364000000.0,-1308000000.0,3977000000.0,-740000000.0,1881000000.0,2581000000,2016-04-29,27.71999931335449,27.82999992370605,27.13999938964844,27.489999771118164,23.28099250793457,33890100.0
2016-07-31,12638000000.0,-4663000000.0,7975000000.0,-4672000000.0,-2976000000.0,-1601000000.0,3303000000.0,91000000.0,93000000.0,3394000000,3394000000,-581000000.0,2813000000,2813000000,2813000000,65756000000.0,5847000000.0,1217000000.0,78719000000.0,3506000000.0,39427000000.0,42933000000.0,121652000000,4524000000.0,4160000000.0,24911000000.0,24483000000.0,33156000000.0,58067000000,44516000000.0,19396000000.0,63585000000.0,121652000000,2813000000.0,604000000.0,-112000000.0,513000000.0,-1816000000.0,126000000.0,49000000.0,2154000000.0,3818000000.0,-236000000.0,-3151000000.0,0.0,-3366000000.0,-1309000000.0,0.0,-399000000.0,-1716000000.0,-1264000000,2016-07-29,30.60000038146973,30.690000534057607,30.46999931335449,30.53000068664551,26.09108543395996,23807200.0
2016-10-31,12352000000.0,-4468000000.0,7884000000.0,-5007000000.0,-2973000000.0,-1545000000.0,2877000000.0,76000000.0,97000000.0,2953000000,2953000000,-631000000.0,2322000000,2322000000,2322000000,70968000000.0,4805000000.0,1176000000.0,83141000000.0,3499000000.0,39647000000.0,43146000000.0,126287000000,3647000000.0,4155000000.0,23217000000.0,30634000000.0,39657000000.0,62874000000,44236000000.0,19694000000.0,63413000000.0,126287000000,2322000000.0,599000000.0,486000000.0,-677000000.0,1049000000.0,44000000.0,-63000000.0,-1707000000.0,2730000000.0,-273000000.0,-4919000000.0,-251000000.0,-5396000000.0,-1308000000.0,6231000000.0,-935000000.0,3618000000.0,952000000,2016-10-31,30.34000015258789,30.770000457763672,30.31999969482422,30.68000030517578,26.43596076965332,23225400.0
2017-01-31,11580000000.0,-4304000000.0,7276000000.0,-4383000000.0,-2678000000.0,-1508000000.0,2893000000.0,70000000.0,107000000.0,2963000000,2963000000,-615000000.0,2348000000,2348000000,2348000000,71845000000.0,4458000000.0,1264000000.0,83392000000.0,3422000000.0,39434000000.0,42856000000.0,126248000000,3536000000.0,4451000000.0,22708000000.0,30471000000.0,39722000000.0,62430000000,44585000000.0,20027000000.0,63818000000.0,126248000000,2348000000.0,549000000.0,194000000.0,681000000.0,347000000.0,-95000000.0,-35000000.0,464000000.0,3772000000.0,-248000000.0,595000000.0,0.0,418000000.0,-1304000000.0,300000000.0,-670000000.0,-1875000000.0,2315000000,2017-01-31,30.68000030517578,30.88999938964844,30.57999992370605,30.71999931335449,26.69772148132324,16603100.0
2017-04-30,11940000000.0,-4422000000.0,7518000000.0,-4349000000.0,-2713000000.0,-1507000000.0,3169000000.0,22000000.0,135000000.0,3191000000,3191000000,-676000000.0,2515000000,2515000000,2515000000,67974000000.0,4635000000.0,1366000000.0,79962000000.0,3395000000.0,42593000000.0,45988000000.0,125950000000,4064000000.0,4248000000.0,22718000000.0,28222000000.0,37850000000.0,60568000000,45003000000.0,20721000000.0,65382000000.0,125950000000,2515000000.0,560000000.0,370000000.0,-72000000.0,-143000000.0,-98000000.0,247000000.0,-78000000.0,3373000000.0,-229000000.0,1394000000.0,-2960000000.0,-1710000000.0,-1451000000.0,-2450000000.0,-493000000.0,-4445000000.0,-2782000000,2017-04-28,33.880001068115234,34.080001831054695,33.669998168945305,34.06999969482422,29.867027282714844,20461700.0
2017-07-31,12133000000.0,-4587000000.0,7546000000.0,-4512000000.0,-2813000000.0,-1499000000.0,3034000000.0,146000000.0,138000000.0,3180000000,3180000000,-756000000.0,2424000000,2424000000,2424000000,70492000000.0,5146000000.0,1616000000.0,83703000000.0,3322000000.0,42793000000.0,46115000000.0,129818000000,4378000000.0,7992000000.0,27583000000.0,25725000000.0,36098000000.0,63681000000,45253000000.0,20838000000.0,66137000000.0,129818000000,2424000000.0,578000000.0,345000000.0,654000000.0,-497000000.0,-245000000.0,162000000.0,1234000000.0,4001000000.0,-207000000.0,976000000.0,-113000000.0,695000000.0,-1448000000.0,1245000000.0,-879000000.0,-1104000000.0,3592000000,2017-07-31,31.540000915527344,31.59000015258789,31.3700008392334,31.45000076293945,27.827821731567386,19256400.0
2017-10-31,12136000000.0,-4709000000.0,7427000000.0,-4671000000.0,-2891000000.0,-1567000000.0,2756000000.0,206000000.0,144000000.0,2962000000,2962000000,-568000000.0,2394000000,2394000000,2394000000,71588000000.0,4206000000.0,1693000000.0,84080000000.0,3202000000.0,43240000000.0,46442000000.0,130522000000,3925000000.0,10239000000.0,29284000000.0,25684000000.0,35688000000.0,64972000000,44872000000.0,20647000000.0,65550000000.0,130522000000,2394000000.0,566000000.0,497000000.0,-377000000.0,957000000.0,-80000000.0,-235000000.0,-1019000000.0,3080000000.0,-167000000.0,-1684000000.0,-725000000.0,-2505000000.0,-1436000000.0,2236000000.0,-1677000000.0,-1250000000.0,-675000000,2017-10-31,33.97999954223633,34.240001678466804,33.959999084472656,34.150001525878906,30.477970123291016,13935100.0
2018-01-31,11887000000.0,-4389000000.0,7498000000.0,-4425000000.0,-2718000000.0,-1549000000.0,3073000000.0,159000000.0,149000000.0,3232000000,3232000000,-12010000000.0,-8778000000,-8778000000,-8778000000,73683000000.0,3963000000.0,1896000000.0,86050000000.0,3113000000.0,42347000000.0,45460000000.0,131510000000,6000000000.0,13741000000.0,35364000000.0,25625000000.0,44164000000.0,79528000000,44535000000.0,7364000000.0,51982000000.0,131510000000,-8778000000.0,546000000.0,1092000000.0,11210000000.0,279000000.0,-196000000.0,-103000000.0,11230000000.0,4070000000.0,-161000000.0,4117000000.0,-2000000.0,3990000000.0,-1425000000.0,3506000000.0,-3478000000.0,-1479000000.0,6581000000,2018-01-31,41.97999954223633,42.0099983215332,41.349998474121094,41.540000915527344,37.34986114501953,36512100.0
2018-04-30,12463000000.0,-4704000000.0,7759000000.0,-4625000000.0,-2886000000.0,-1590000000.0,3134000000.0,119000000.0,143000000.0,3253000000,3253000000,-562000000.0,2691000000,2691000000,2691000000,54431000000.0,4274000000.0,1900000000.0,67141000000.0,3082000000.0,43785000000.0,46867000000.0,114008000000,5480000000.0,7736000000.0,28642000000.0,20336000000.0,38705000000.0,67347000000,43556000000.0,3709000000.0,46661000000.0,114008000000,2691000000.0,564000000.0,345000000.0,-1184000000.0,-172000000.0,-13000000.0,486000000.0,-1485000000.0,2416000000.0,-238000000.0,7990000000.0,-2035000000.0,5757000000.0,-1572000000.0,-11242000000.0,-6089000000.0,-19081000000.0,-10908000000,2018-04-30,44.91999816894531,45.18000030517578,44.27999877929688,44.290000915527344,40.1426010131836,19958500.0
2018-07-31,12844000000.0,-4922000000.0,7922000000.0,-4576000000.0,-2891000000.0,-1626000000.0,3346000000.0,246000000.0,129000000.0,3592000000,3592000000,211000000.0,3803000000,3803000000,3803000000,46548000000.0,5554000000.0,1846000000.0,61837000000.0,3006000000.0,43941000000.0,46947000000.0,108784000000,5894000000.0,5238000000.0,27035000000.0,20331000000.0,38545000000.0,65580000000,42820000000.0,1233000000.0,43204000000.0,108784000000,3803000000.0,516000000.0,86000000.0,-305000000.0,-1333000000.0,45000000.0,356000000.0,627000000.0,4100000000.0,-209000000.0,8500000000.0,-217000000.0,8082000000.0,-1535000000.0,-2500000000.0,-5680000000.0,-9954000000.0,2228000000,2018-07-31,42.2400016784668,42.61999893188477,41.91999816894531,42.290000915527344,38.62864303588867,20900300.0
