Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2018-03-31,1610000000.0,-719000000.0,891000000.0,-660000000.0,-493000000.0,-167000000.0,231000000.0,-93000000.0,-94000000.0,138000000,-24000000.0,114000000,-39000000.0,75000000,72000000,72000000,462000000.0,1374000000.0,2264000000.0,468000000.0,14191000000.0,14659000000.0,16923000000,1090000000.0,360000000.0,1839000000.0,8286000000.0,10626000000.0,12465000000,4782000000.0,362000000.0,4458000000.0,16923000000,75000000.0,167000000.0,13000000.0,-372000000.0,-110000000.0,-179000000.0,-83000000.0,-117000000.0,-128000000.0,-2000000.0,-132000000.0,-121000000.0,168000000.0,-5000000.0,40000000.0,-194000000,2018-03-29,32.310001373291016,32.669998168945305,31.75,31.790000915527344,28.48746109008789,4834200.0
2018-06-30,1647000000.0,-698000000.0,949000000.0,-656000000.0,-494000000.0,-162000000.0,293000000.0,-107000000.0,-98000000.0,186000000,-65000000.0,121000000,-44000000.0,76000000,72000000,72000000,394000000.0,1320000000.0,2120000000.0,471000000.0,14107000000.0,14578000000.0,16698000000,1085000000.0,343000000.0,1789000000.0,8321000000.0,10664000000.0,12453000000,4755000000.0,309000000.0,4245000000.0,16698000000,76000000.0,162000000.0,15000000.0,-11000000.0,1000000.0,50000000.0,-62000000.0,242000000.0,-118000000.0,-28000000.0,-144000000.0,-125000000.0,20000000.0,-34000000.0,-148000000.0,-68000000,2018-06-29,30.78000068664551,31.21999931335449,30.729999542236328,30.93000030517578,28.04409217834473,2422200.0
2018-09-30,1600000000.0,-681000000.0,919000000.0,-639000000.0,-464000000.0,-175000000.0,280000000.0,-104000000.0,-97000000.0,176000000,-19000000.0,157000000,-59000000.0,98000000,96000000,96000000,446000000.0,1249000000.0,2047000000.0,461000000.0,14127000000.0,14588000000.0,16635000000,1142000000.0,307000000.0,1794000000.0,8304000000.0,10626000000.0,12420000000,4746000000.0,281000000.0,4215000000.0,16635000000,98000000.0,175000000.0,6000000.0,108000000.0,61000000.0,-61000000.0,108000000.0,387000000.0,-121000000.0,-9000000.0,-127000000.0,-124000000.0,-67000000.0,-10000000.0,-205000000.0,52000000,2018-09-28,27.90999984741211,28.040000915527344,27.520000457763672,27.65999984741211,25.41994667053223,3809900.0
2018-12-31,1658000000.0,-707000000.0,951000000.0,-678000000.0,-507000000.0,-171000000.0,273000000.0,-103000000.0,-97000000.0,170000000,-1444000000.0,-1274000000,324000000.0,-949000000,-952000000,-952000000,524000000.0,1118000000.0,2003000000.0,468000000.0,12708000000.0,13176000000.0,15179000000,1195000000.0,107000000.0,1657000000.0,8280000000.0,10479000000.0,12136000000,4752000000.0,-795000000.0,3043000000.0,15179000000,-949000000.0,171000000.0,917000000.0,407000000.0,143000000.0,169000000.0,95000000.0,546000000.0,-149000000.0,47000000.0,-103000000.0,-124000000.0,-159000000.0,-16000000.0,-363000000.0,78000000,2018-12-31,23.31999969482422,23.56999969482422,23.04999923706055,23.32999992370605,21.737812042236328,2609300.0
2019-03-31,1563000000.0,-695000000.0,868000000.0,-659000000.0,-480000000.0,-179000000.0,209000000.0,-95000000.0,-97000000.0,114000000,-35000000.0,79000000,-32000000.0,47000000,43000000,43000000,402000000.0,1221000000.0,2047000000.0,473000000.0,13222000000.0,13695000000.0,15742000000,1156000000.0,385000000.0,1917000000.0,8242000000.0,10836000000.0,12753000000,4646000000.0,-752000000.0,2989000000.0,15742000000,47000000.0,179000000.0,13000000.0,-282000000.0,-115000000.0,-130000000.0,-37000000.0,-43000000.0,-122000000.0,-59000000.0,-180000000.0,-124000000.0,233000000.0,-2000000.0,104000000.0,-122000000,2019-03-29,23.8799991607666,24.09000015258789,23.5,23.670000076293945,22.34744071960449,10097900.0
2019-06-30,1628000000.0,-699000000.0,929000000.0,-668000000.0,-483000000.0,-185000000.0,261000000.0,-100000000.0,-99000000.0,161000000,-12000000.0,149000000,-23000000.0,126000000,123000000,123000000,393000000.0,1227000000.0,2026000000.0,450000000.0,13112000000.0,13562000000.0,15588000000,1114000000.0,412000000.0,1889000000.0,8233000000.0,10711000000.0,12600000000,4533000000.0,-629000000.0,2988000000.0,15588000000,126000000.0,185000000.0,13000000.0,-98000000.0,-3000000.0,-23000000.0,-72000000.0,226000000.0,-108000000.0,-1000000.0,-110000000.0,-125000000.0,33000000.0,4000000.0,-126000000.0,-9000000,2019-06-28,22.31999969482422,22.60000038146973,22.209999084472656,22.60000038146973,21.668550491333008,4183800.0
2019-09-30,1616000000.0,-694000000.0,922000000.0,-653000000.0,-467000000.0,-186000000.0,269000000.0,-108000000.0,-99000000.0,161000000,-1009000000.0,-848000000,380000000.0,-468000000,-472000000,-472000000,389000000.0,1146000000.0,1947000000.0,423000000.0,11973000000.0,12396000000.0,14343000000,1161000000.0,298000000.0,1775000000.0,8189000000.0,10215000000.0,11990000000,4422000000.0,-1101000000.0,2353000000.0,14343000000,-468000000.0,186000000.0,1025000000.0,-330000000.0,61000000.0,-4000000.0,-387000000.0,413000000.0,-112000000.0,-2000000.0,-132000000.0,-124000000.0,-120000000.0,1000000.0,-268000000.0,-4000000,2019-09-30,21.07999992370605,21.38999938964844,20.979999542236328,21.25,20.724090576171875,5305800.0
2019-12-31,1691000000.0,-734000000.0,957000000.0,-705000000.0,-499000000.0,-206000000.0,252000000.0,-267000000.0,-96000000.0,-15000000,-28000000.0,-43000000,-65000000.0,-108000000,-109000000,-109000000,454000000.0,1103000000.0,1977000000.0,466000000.0,11876000000.0,12342000000.0,14319000000,1242000000.0,914000000.0,2501000000.0,7395000000.0,9430000000.0,11931000000,4410000000.0,-1210000000.0,2388000000.0,14319000000,-108000000.0,206000000.0,187000000.0,185000000.0,61000000.0,137000000.0,-13000000.0,470000000.0,-177000000.0,18000000.0,-160000000.0,-22000000.0,-203000000.0,1000000.0,-254000000.0,65000000,2019-12-31,19.96999931335449,20.36000061035156,19.950000762939453,20.299999237060547,19.85620307922364,4178700.0
2020-03-31,842000000.0,-324000000.0,518000000.0,-338000000.0,-202000000.0,-136000000.0,180000000.0,-92000000.0,-82000000.0,88000000,-3000000.0,85000000,-25000000.0,60000000,-18000000,-18000000,359000000.0,1182000000.0,2014000000.0,426000000.0,11753000000.0,12179000000.0,14193000000,1112000000.0,1054000000.0,2568000000.0,7359000000.0,9394000000.0,11962000000,4402000000.0,-1228000000.0,2231000000.0,14193000000,-13000000.0,214000000.0,23000000.0,-229000000.0,-107000000.0,-92000000.0,-30000000.0,-5000000.0,-112000000.0,-27000000.0,-142000000.0,-21000000.0,121000000.0,1000000.0,82000000.0,-95000000,2020-03-31,12.920000076293945,13.1899995803833,12.529999732971193,12.539999961853027,12.307859420776367,5041500.0
2020-06-30,811000000.0,-302000000.0,509000000.0,-320000000.0,-173000000.0,-147000000.0,189000000.0,-78000000.0,-83000000.0,111000000,-70000000.0,41000000,-9000000.0,32000000,-30000000,-30000000,438000000.0,1131000000.0,2073000000.0,402000000.0,11647000000.0,12049000000.0,14122000000,1100000000.0,291000000.0,1752000000.0,8130000000.0,10163000000.0,11915000000,4391000000.0,-1258000000.0,2207000000.0,14122000000,-26000000.0,224000000.0,58000000.0,-6000000.0,65000000.0,-2000000.0,-69000000.0,250000000.0,-120000000.0,-1000000.0,-120000000.0,-22000000.0,-7000000.0,1000000.0,-61000000.0,79000000,2020-06-30,14.649999618530273,14.9399995803833,14.380000114440918,14.859999656677244,14.64344596862793,3095700.0
