Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-09-30,6239000000.0,-4904000000.0,1335000000.0,-647000000.0,-243000000.0,-57000000.0,-347000000.0,688000000.0,-149000000.0,-126000000.0,539000000,-209000000.0,330000000,-199000000.0,131000000,149000000,149000000,3272000000.0,1480000000.0,3138000000.0,9689000000.0,16716000000.0,1946000000.0,8771000000.0,27433000000.0,37122000000,3930000000.0,191000000.0,5354000000.0,8797000000.0,16636000000.0,21990000000,10027000000.0,9276000000.0,15132000000.0,37122000000,131000000.0,346000000.0,493000000.0,-721000000.0,-440000000.0,-28000000.0,57000000.0,-310000000.0,249000000.0,-283000000.0,-309000000.0,-36000000.0,981000000.0,31000000.0,2168000000.0,2089000000,2014-09-30,36.49924850463867,36.74662780761719,35.93703079223633,36.18440628051758,35.00839233398437,96879.0
2014-12-31,-4987000000.0,3815000000.0,-1172000000.0,589000000.0,-46000000.0,35000000.0,600000000.0,-583000000.0,-33000000.0,-91000000.0,-616000000,466000000.0,-150000000,26000000.0,-124000000,159000000,159000000,1877000000.0,1395000000.0,3082000000.0,7848000000.0,16426000000.0,1944000000.0,11145000000.0,29515000000.0,37363000000,4089000000.0,83000000.0,5458000000.0,8769000000.0,17114000000.0,22572000000,10588000000.0,9379000000.0,14791000000.0,37363000000,114000000.0,336000000.0,479000000.0,529000000.0,353000000.0,130000000.0,173000000.0,-127000000.0,1458000000.0,-469000000.0,-2653000000.0,-56000000.0,-110000000.0,22000000.0,-181000000.0,-1395000000,2014-12-31,35.644649505615234,36.04944610595703,35.46474075317383,35.50971984863281,34.35563278198242,88424.0
2015-03-31,5819000000.0,-4443000000.0,1376000000.0,-608000000.0,-232000000.0,-55000000.0,-321000000.0,768000000.0,-110000000.0,-122000000.0,658000000,-177000000.0,481000000,-226000000.0,255000000,195000000,195000000,1191000000.0,1469000000.0,3173000000.0,7722000000.0,15288000000.0,1931000000.0,10753000000.0,27972000000.0,35694000000,3711000000.0,106000000.0,5064000000.0,8711000000.0,16790000000.0,21854000000,10428000000.0,9520000000.0,13840000000.0,35694000000,255000000.0,321000000.0,290000000.0,-1041000000.0,-146000000.0,-266000000.0,-183000000.0,-446000000.0,-175000000.0,-247000000.0,-465000000.0,-54000000.0,24000000.0,24000000.0,-26000000.0,-686000000,2015-03-31,28.83056259155273,29.212871551513672,28.785585403442386,29.055450439453125,28.11112976074219,230093.0
2015-06-30,5897000000.0,-4663000000.0,1234000000.0,-611000000.0,-224000000.0,-68000000.0,-319000000.0,623000000.0,-124000000.0,-124000000.0,499000000,-217000000.0,282000000,-75000000.0,207000000,140000000,140000000,1311000000.0,1558000000.0,3160000000.0,7829000000.0,15274000000.0,1928000000.0,11556000000.0,28758000000.0,36587000000,3811000000.0,76000000.0,5206000000.0,8713000000.0,16746000000.0,21952000000,10451000000.0,9605000000.0,14635000000.0,36587000000,207000000.0,320000000.0,306000000.0,-361000000.0,-54000000.0,45000000.0,53000000.0,-405000000.0,472000000.0,-267000000.0,-220000000.0,-55000000.0,-38000000.0,2000000.0,-133000000.0,120000000,2015-06-30,25.74960517883301,25.862049102783203,25.07494354248047,25.07494354248047,24.25998687744141,226229.0
2015-09-30,5573000000.0,-4559000000.0,1014000000.0,-634000000.0,-261000000.0,-55000000.0,-318000000.0,380000000.0,-108000000.0,-123000000.0,272000000,-66000000.0,206000000,-100000000.0,106000000,44000000,44000000,1739000000.0,1525000000.0,3559000000.0,8592000000.0,14752000000.0,1647000000.0,11596000000.0,27995000000.0,36587000000,3559000000.0,186000000.0,5147000000.0,9091000000.0,16752000000.0,21899000000,11345000000.0,9553000000.0,14688000000.0,36587000000,106000000.0,318000000.0,283000000.0,-287000000.0,103000000.0,45000000.0,-110000000.0,-325000000.0,420000000.0,-268000000.0,82000000.0,-40000000.0,-9000000.0,0.0,-52000000.0,428000000,2015-09-30,21.611677169799805,21.836565017700195,21.206880569458008,21.72412109375,21.018070220947266,414458.0
2016-06-30,3234000000.0,-2533000000.0,701000000.0,-404000000.0,-239000000.0,-32000000.0,-133000000.0,297000000.0,-107000000.0,-124000000.0,190000000,-14000000.0,176000000,-123000000.0,53000000,135000000,135000000,1929000000.0,1595000000.0,3438000000.0,8093000000.0,15017000000.0,1466000000.0,11563000000.0,28046000000.0,36139000000,3475000000.0,807000000.0,5488000000.0,8278000000.0,16125000000.0,21613000000,11268000000.0,8871000000.0,14526000000.0,36139000000,178000000.0,313000000.0,135000000.0,-294000000.0,-79000000.0,55000000.0,29000000.0,-299000000.0,332000000.0,-277000000.0,311000000.0,-57000000.0,-11000000.0,2000000.0,-100000000.0,545000000,2016-06-30,20.667150497436523,20.86955070495605,20.284841537475586,20.84706115722656,20.169513702392575,247919.0
2016-09-30,3138000000.0,-2503000000.0,635000000.0,-395000000.0,-229000000.0,-30000000.0,-136000000.0,240000000.0,-115000000.0,-126000000.0,125000000,-3000000.0,122000000,-56000000.0,66000000,166000000,166000000,1863000000.0,1675000000.0,3455000000.0,9368000000.0,15122000000.0,1465000000.0,11493000000.0,28080000000.0,37448000000,3569000000.0,805000000.0,5500000000.0,9501000000.0,18006000000.0,23506000000,8635000000.0,8940000000.0,13942000000.0,37448000000,186000000.0,316000000.0,61000000.0,-257000000.0,-8000000.0,10000000.0,47000000.0,-306000000.0,306000000.0,-286000000.0,-231000000.0,-57000000.0,-6000000.0,1000000.0,-143000000.0,-66000000,2016-09-30,22.443761825561523,22.916025161743164,22.37629508972168,22.80358123779297,22.062450408935547,228889.0
2016-12-31,2967000000.0,-2375000000.0,592000000.0,-441000000.0,-269000000.0,-39000000.0,-133000000.0,151000000.0,-74000000.0,-128000000.0,77000000,-122000000.0,-45000000,-1246000000.0,-1291000000,-1258000000,-1258000000,1863000000.0,974000000.0,2253000000.0,5892000000.0,5499000000.0,1020000000.0,7627000000.0,14146000000.0,20038000000,2295000000.0,40000000.0,2749000000.0,8044000000.0,12151000000.0,14900000000,8652000000.0,-1027000000.0,5138000000.0,20038000000,-1253000000.0,194000000.0,1385000000.0,336000000.0,-12000000.0,-36000000.0,428000000.0,-44000000.0,662000000.0,-311000000.0,-244000000.0,-57000000.0,-758000000.0,1000000.0,-404000000.0,0,2016-12-30,18.780000686645508,19.07999992370605,18.46999931335449,18.540000915527344,18.031024932861328,5054000.0
2017-03-31,3192000000.0,-2492000000.0,700000000.0,-382000000.0,-221000000.0,-28000000.0,-133000000.0,318000000.0,239000000.0,-115000000.0,557000000,-73000000.0,484000000,-162000000.0,322000000,322000000,322000000,2553000000.0,1148000000.0,2328000000.0,6710000000.0,5473000000.0,446000000.0,7528000000.0,13447000000.0,20157000000,2039000000.0,47000000.0,2587000000.0,8046000000.0,12078000000.0,14665000000,8690000000.0,-768000000.0,5492000000.0,20157000000,322000000.0,133000000.0,-156000000.0,-599000000.0,-299000000.0,-85000000.0,-122000000.0,-93000000.0,-300000000.0,-103000000.0,1029000000.0,-45000000.0,8000000.0,22000000.0,-43000000.0,690000000,2017-03-31,26.46999931335449,26.54999923706055,26.20000076293945,26.34000015258789,25.684511184692386,2514400.0
2017-06-30,3261000000.0,-2583000000.0,678000000.0,-371000000.0,-204000000.0,-30000000.0,-137000000.0,307000000.0,-12000000.0,-183000000.0,295000000,-26000000.0,269000000,-57000000.0,212000000,212000000,212000000,1785000000.0,1170000000.0,2416000000.0,6033000000.0,5507000000.0,0.0,7566000000.0,13073000000.0,19106000000,2154000000.0,48000000.0,2658000000.0,6796000000.0,10698000000.0,13356000000,8703000000.0,-567000000.0,5750000000.0,19106000000,212000000.0,137000000.0,38000000.0,-403000000.0,-268000000.0,-65000000.0,53000000.0,-123000000.0,-16000000.0,-126000000.0,150000000.0,-43000000.0,-820000000.0,4000000.0,-912000000.0,-778000000,2017-06-30,22.81999969482422,22.940000534057607,22.1299991607666,22.649999618530273,22.135257720947266,7657800.0
