Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,1482300000.0,-449700000.0,1032600000.0,-905100000.0,-816200000.0,-88900000.0,127500000.0,-28500000.0,-28500000.0,99000000,-4100000.0,94900000,35500000.0,130400000,122800000,122800000,531800000.0,4213700000.0,213900000.0,6772700000.0,6986600000.0,11200300000,3601900000.0,608000000.0,4398900000.0,2044600000.0,3060200000.0,7459100000,3417200000.0,889800000.0,3741200000.0,11200300000,130400000.0,88900000.0,46600000.0,-26400000.0,396700000.0,-385300000.0,-37800000.0,239500000.0,-35700000.0,-49700000.0,-91500000.0,-67900000.0,51600000.0,15900000.0,-25500000.0,120700000,2016-09-30,50.72999954223633,51.09000015258789,50.72000122070313,50.86999893188477,45.99446487426758,1289100.0
2016-12-31,1338600000.0,-329500000.0,1009100000.0,-924400000.0,-835100000.0,-89300000.0,84700000.0,-28300000.0,-28300000.0,56400000,-10900000.0,45500000,40800000.0,86300000,77500000,77500000,545500000.0,4416100000.0,377600000.0,6695900000.0,7073500000.0,11489600000,3837200000.0,578000000.0,4611700000.0,2144600000.0,3222100000.0,7833800000,3443800000.0,916400000.0,3655800000.0,11489600000,86300000.0,89300000.0,208200000.0,-103100000.0,-750500000.0,681600000.0,-34200000.0,280700000.0,-79000000.0,-96400000.0,-184500000.0,-67900000.0,68700000.0,8800000.0,-1500000.0,-6300000,2016-12-30,51.959999084472656,52.15999984741211,51.63000106811523,51.959999084472656,47.33094024658203,1221400.0
2017-03-31,1613300000.0,-366900000.0,1246400000.0,-1005100000.0,-911300000.0,-93800000.0,241300000.0,-29900000.0,-29900000.0,211400000,-11800000.0,199600000,42400000.0,242000000,228800000,228800000,564000000.0,4483200000.0,375500000.0,6921900000.0,7297400000.0,11780600000,3921600000.0,695000000.0,4784700000.0,2144700000.0,3268600000.0,8053300000,3459800000.0,901800000.0,3727300000.0,11780600000,242000000.0,93800000.0,78500000.0,-398800000.0,-1559400000.0,1119000000.0,41600000.0,15500000.0,-29300000.0,-137100000.0,-170200000.0,-71400000.0,89200000.0,20300000.0,19900000.0,-115600000,2017-03-31,56.599998474121094,56.81999969482422,56.5,56.540000915527344,51.8580436706543,941300.0
2017-06-30,1454300000.0,-397100000.0,1057200000.0,-966400000.0,-871100000.0,-95300000.0,90800000.0,-31600000.0,-31600000.0,59200000,-5100000.0,54100000,24200000.0,78300000,70000000,70000000,587800000.0,5107200000.0,387600000.0,7074800000.0,7462400000.0,12569600000,4331500000.0,368000000.0,4858000000.0,2644800000.0,3801600000.0,8659600000,3503700000.0,1002900000.0,3910000000.0,12569600000,78300000.0,95300000.0,-112700000.0,184500000.0,25000000.0,260400000.0,-100900000.0,245400000.0,-36300000.0,-77000000.0,-113200000.0,-70200000.0,169500000.0,14600000.0,99100000.0,246900000,2017-06-30,57.349998474121094,57.45000076293945,56.97999954223633,57.25,52.87118911743164,813100.0
2017-09-30,1559900000.0,-451400000.0,1108500000.0,-989600000.0,-889500000.0,-100100000.0,118900000.0,-31400000.0,-31400000.0,87500000,-10600000.0,76900000,41200000.0,118100000,111000000,111000000,564900000.0,5087400000.0,413400000.0,7309600000.0,7723000000.0,12810400000,4362000000.0,125000000.0,4705200000.0,2741700000.0,3933000000.0,8638200000,3546800000.0,1062100000.0,4172200000.0,12810400000,118100000.0,100100000.0,72800000.0,41300000.0,734300000.0,-623800000.0,-69200000.0,332300000.0,-28200000.0,-88600000.0,-118800000.0,-70000000.0,-95700000.0,15300000.0,-165600000.0,111600000,2017-09-29,61.20000076293945,61.63000106811523,61.13000106811523,61.54999923706055,57.22684097290039,798800.0
2017-12-31,1485500000.0,-420500000.0,1065000000.0,-1001200000.0,-904600000.0,-96600000.0,63800000.0,-31200000.0,-31200000.0,32600000,-3400000.0,29200000,49300000.0,78500000,71500000,71500000,681200000.0,7269400000.0,412200000.0,7228100000.0,7640300000.0,14909700000,5933800000.0,290000000.0,6730200000.0,2691900000.0,3879800000.0,10610000000,3569200000.0,1221800000.0,4299700000.0,14909700000,78500000.0,96600000.0,58600000.0,27300000.0,752400000.0,-588700000.0,-136400000.0,261000000.0,-35400000.0,-73400000.0,-108800000.0,-71100000.0,97600000.0,-7500000.0,-1200000.0,124500000,2017-12-29,63.68000030517578,63.88999938964844,63.27999877929688,63.27999877929688,59.18283081054688,487100.0
2018-03-31,1802900000.0,-431200000.0,1371700000.0,-1090700000.0,-991900000.0,-98800000.0,281000000.0,-31300000.0,-31300000.0,249700000,-7400000.0,242300000,43700000.0,286000000,273700000,273700000,697900000.0,8533300000.0,424200000.0,7170000000.0,7594200000.0,16127500000,6871000000.0,360000000.0,7742400000.0,2792100000.0,3800600000.0,11543000000,3587400000.0,1426700000.0,4584500000.0,16127500000,286000000.0,98800000.0,-153000000.0,-449400000.0,-1505400000.0,979400000.0,76600000.0,-217600000.0,-31100000.0,-57300000.0,-86900000.0,-76100000.0,139700000.0,21000000.0,69500000.0,-196300000,2018-03-29,68.63999938964844,69.12000274658203,68.02999877929689,68.73000335693361,64.66358947753906,1265500.0
2018-06-30,1625000000.0,-441800000.0,1183200000.0,-1051700000.0,-947500000.0,-104200000.0,131500000.0,-33900000.0,-33900000.0,97600000,6000000.0,103600000,20100000.0,123700000,114900000,114900000,652200000.0,8365000000.0,427600000.0,7437900000.0,7865500000.0,16230500000,6827300000.0,235000000.0,7568600000.0,3141000000.0,4148800000.0,11717400000,3629000000.0,1466000000.0,4513100000.0,16230500000,123700000.0,104200000.0,18000000.0,285000000.0,408100000.0,127500000.0,-250600000.0,530900000.0,-31600000.0,-338100000.0,-358800000.0,-74800000.0,220800000.0,15400000.0,132100000.0,236000000,2018-06-29,65.43000030517578,65.79000091552734,64.91999816894531,65.27999877929689,61.79597473144531,1891400.0
2018-09-30,1741200000.0,-508800000.0,1232400000.0,-1099600000.0,-993400000.0,-106200000.0,132800000.0,-36700000.0,-36700000.0,96100000,-5800000.0,90300000,48100000.0,138400000,127600000,127600000,605000000.0,8084000000.0,429300000.0,7601400000.0,8030700000.0,16114700000,6636700000.0,230000000.0,7422600000.0,3141200000.0,4079400000.0,11502000000,3700300000.0,1517600000.0,4612700000.0,16114700000,138400000.0,106200000.0,54900000.0,-108200000.0,315000000.0,-377800000.0,-45400000.0,191300000.0,-28100000.0,-180100000.0,-208100000.0,-75300000.0,48500000.0,22200000.0,-44800000.0,-84200000,2018-09-28,74.30999755859375,74.5999984741211,74.05000305175781,74.44000244140625,70.86222839355469,681600.0
2018-12-31,1623300000.0,-434200000.0,1189100000.0,-1107000000.0,-997200000.0,-109800000.0,82100000.0,-36500000.0,-36500000.0,45600000,-2400000.0,43200000,84600000.0,127800000,117300000,117300000,607200000.0,8118700000.0,436900000.0,7778400000.0,8215300000.0,16334000000,6795300000.0,365000000.0,7693600000.0,3091400000.0,4070700000.0,11764300000,3725900000.0,1558600000.0,4569700000.0,16334000000,127800000.0,109800000.0,69100001.0,-46200000.0,-800000.0,90600000.0,-136000000.0,260500001.0,-33600000.0,-209300000.0,-256500000.0,-75600000.0,98900000.0,12000000.0,5200000.0,-23699999,2018-12-31,72.68000030517578,73.69999694824219,72.68000030517578,73.69999694824219,70.53775787353516,680800.0
