Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-09-30,2009575000.0,-1235153000.0,774422000.0,-426160000.0,-426160000.0,348262000.0,-30199000.0,-31231000.0,318063000,318063000,-92380000.0,225683000,6161000.0,231844000,231844000,706234000.0,1338586000.0,908048000.0,3127218000.0,818730000.0,5013238000.0,5831968000.0,8959186000,1010498000.0,153066000.0,1474695000.0,2570257000.0,3562552000.0,5037247000,3921939000.0,8959186000,225683000.0,74481000.0,8297000.0,-16449000.0,292012000.0,-25427000.0,-48833000.0,-74260000.0,-66203000.0,100952000.0,-72487000.0,-38534000.0,158846000,2014-09-30,65.68659210205078,65.92891693115234,64.82229614257811,64.88691711425781,56.22013473510742,1242952.0
2014-12-31,1977947000.0,-1254079000.0,723868000.0,-460377000.0,-460377000.0,263491000.0,-32504000.0,-31332000.0,230987000,230987000,-59152000.0,171835000,-2541000.0,169294000,169294000,681581000.0,1186746000.0,863737000.0,3161140000.0,837069000.0,5032082000.0,5869151000.0,9030291000,994616000.0,777956000.0,2089567000.0,2253041000.0,3239999000.0,5329566000,3700725000.0,9030291000,171835000.0,81286000.0,-11823000.0,203480000.0,444778000.0,-52826000.0,-423468000.0,-474519000.0,-65854000.0,322527000.0,-206420000.0,49020000.0,-24653000,2014-12-31,59.45072555541992,59.58804321289063,57.90791702270508,57.93214797973633,50.43700790405274,1906025.0
2015-03-31,1715501000.0,-1088342000.0,627159000.0,-434634000.0,-434634000.0,192525000.0,-27850000.0,-32037000.0,164675000,164675000,-47485000.0,117190000,92320000.0,209510000,209510000,538486000.0,1133213000.0,861952000.0,2886980000.0,821736000.0,4937989000.0,5759725000.0,8646705000,903090000.0,625502000.0,1818765000.0,2217874000.0,3248830000.0,5067595000,3579110000.0,8646705000,117190000.0,80182000.0,13387000.0,-79427000.0,131332000.0,-21915000.0,178500000.0,156585000.0,-64442000.0,-152531000.0,-197269000.0,-416603000.0,-143095000,2015-03-31,56.57512283325195,56.57512283325195,55.46041870117188,55.83198547363281,48.87252426147461,2225676.0
2015-06-30,1758628000.0,-1104060000.0,654568000.0,-402695000.0,-402695000.0,251873000.0,-30732000.0,-31988000.0,221141000,221141000,-65507000.0,155634000,176762000.0,332396000,332396000,595168000.0,1149414000.0,844355000.0,2737125000.0,827908000.0,4901784000.0,5729692000.0,8466817000,980949000.0,381951000.0,1613705000.0,2225063000.0,3260630000.0,4874335000,3592482000.0,8466817000,155634000.0,78027000.0,5464000.0,-20214000.0,218911000.0,-42125000.0,500000000.0,457875000.0,-63217000.0,-243611000.0,-299384000.0,-608329000.0,56682000,2015-06-30,57.38287734985352,57.68174362182617,56.63166427612305,56.68820571899414,49.88053894042969,1722306.0
2015-09-30,1787582000.0,-1114974000.0,672608000.0,-395688000.0,-395688000.0,276920000.0,-31616000.0,-31983000.0,245304000,245304000,-58821000.0,186483000,-385000.0,186098000,186098000,662673000.0,1193844000.0,810715000.0,2814829000.0,824032000.0,4839959000.0,5663991000.0,8478820000,959342000.0,461305000.0,1668699000.0,2224943000.0,3243817000.0,4912516000,3566304000.0,8478820000,186483000.0,77174000.0,6674000.0,11882000.0,282213000.0,-37768000.0,4314000.0,-33454000.0,-65085000.0,79266000.0,-99885000.0,-86034000.0,67505000,2015-09-30,46.15509033203125,46.5185775756836,45.29887008666992,46.187400817871094,40.93597412109375,2701687.0
2015-12-31,1694600000.0,-1080791000.0,613809000.0,-414365000.0,-414365000.0,199444000.0,-29954000.0,-31249000.0,169490000,169490000,-32916000.0,136574000,5251000.0,141825000,141825000,362185000.0,1120490000.0,802895000.0,2419010000.0,854269000.0,5332797000.0,6187066000.0,8606076000,980089000.0,151122000.0,1367182000.0,2603655000.0,3594319000.0,4961501000,3644575000.0,8606076000,136574000.0,91706000.0,17513000.0,70810000.0,316603000.0,-37839000.0,-561343000.0,-615584000.0,-65225000.0,84128000.0,398000.0,19080000.0,-300488000,2015-12-31,49.49111557006836,50.10500717163086,49.28109741210938,49.5234260559082,44.1741943359375,718164.0
2016-12-31,1026843000.0,-651556000.0,375287000.0,-216679000.0,-216679000.0,158608000.0,-31832000.0,-32352000.0,126776000,211345000,-56947000.0,154398000,6764000.0,161162000,161162000,349146000.0,1265201000.0,870487000.0,2589191000.0,945670000.0,6581130000.0,7526800000.0,10115991000,1193173000.0,414550000.0,1940318000.0,3206637000.0,4375927000.0,6316245000,3799746000.0,10115991000,154398000.0,-13749000.0,-114281000.0,135282000.0,161650000.0,-18558000.0,-900802000.0,-919360000.0,-67980000.0,554069000.0,1603000.0,485016000.0,-165609000,2016-12-30,60.75121307373047,60.88853073120117,60.20193862915039,60.52503967285156,55.38069534301758,647226.0
2017-06-30,1737371000.0,-1083263000.0,654108000.0,-421270000.0,-421270000.0,232838000.0,-34778000.0,-34519000.0,198060000,198060000,-55585000.0,142475000,21583000.0,164058000,164058000,301588000.0,1395745000.0,962070000.0,2759584000.0,978621000.0,6554218000.0,7532839000.0,10292423000,1286034000.0,606965000.0,2215346000.0,2925472000.0,4004643000.0,6219989000,4072434000.0,10292423000,125316000.0,44030000.0,4056000.0,-54096000.0,119306000.0,-34948000.0,-24790000.0,-40956000.0,-68666000.0,-141544000.0,0.0,-216273000.0,-113942000,2017-06-30,64.07108306884766,65.37156677246094,64.02261352539061,64.79805755615234,59.937721252441406,2216763.0
2017-09-30,1747775000.0,-1098582000.0,649193000.0,-410040000.0,-410040000.0,239153000.0,-32377000.0,-33613000.0,206776000,206776000,-47321000.0,159455000,19457000.0,178912000,178912000,322039000.0,1446556000.0,982196000.0,2868771000.0,1012765000.0,6611854000.0,7624619000.0,10493390000,1347929000.0,484088000.0,2167256000.0,2985048000.0,4050444000.0,6217700000,4275690000.0,10493390000,159455000.0,72533000.0,3017000.0,20760000.0,255765000.0,-47584000.0,0.0,-47584000.0,-73367000.0,-122483000.0,0.0,-197635000.0,20451000,2017-09-29,73.85298919677734,74.24878692626953,73.58643341064453,73.8206787109375,68.66560363769531,1375170.0
2017-12-31,1522368000.0,-957796000.0,564572000.0,-404591000.0,-404591000.0,159981000.0,-34016000.0,-34496000.0,125965000,239007000,33479000.0,272486000,23962000.0,296448000,296448000,753964000.0,1183514000.0,677043000.0,4655700000.0,787940000.0,5214719000.0,6002659000.0,10658359000,1226441000.0,581102000.0,2406231000.0,2986702000.0,3868948000.0,6275179000,4383180000.0,10658359000,289645000.0,71117000.0,-265298000.0,189948000.0,285412000.0,-33921000.0,249871000.0,215950000.0,-73410000.0,97331000.0,-105023000.0,-85732000.0,431925000,2017-12-29,82.24555969238281,82.43941497802734,81.56704711914062,81.57511901855469,76.24981689453125,643760.0
2018-06-30,1798094000.0,-1132858000.0,665236000.0,-428775000.0,-428775000.0,236461000.0,-25024000.0,-29562000.0,211437000,211437000,-44981000.0,166456000,-26497000.0,139959000,139959000,242814000.0,1281260000.0,764053000.0,2447728000.0,805009000.0,5220433000.0,6025442000.0,8473170000,1234259000.0,284630000.0,1813927000.0,2974940000.0,3818652000.0,5632579000,2840591000.0,8473170000,144430000.0,39905000.0,3089000.0,-47879000.0,139545000.0,-37957000.0,-172000.0,-38181000.0,-69631000.0,-141482000.0,-700000000.0,-227734000.0,-124408000,2018-06-29,73.2699966430664,74.0999984741211,73.08999633789062,73.19999694824219,69.14823913574219,1342100.0
2018-09-30,1747403000.0,-1100883000.0,646520000.0,-426445000.0,-426445000.0,220075000.0,-27059000.0,-29132000.0,193016000,193016000,-35711000.0,157305000,0.0,157305000,157305000,209277000.0,1283775000.0,803981000.0,2459049000.0,806737000.0,5195984000.0,6002721000.0,8461770000,1279069000.0,298659000.0,1890305000.0,2981923000.0,3823531000.0,5713836000,2747934000.0,8461770000,157305000.0,68090000.0,5443000.0,13106000.0,243944000.0,-35922000.0,0.0,-35922000.0,-70804000.0,14033000.0,-147794000.0,-232476000.0,-33537000,2018-09-28,89.02999877929688,89.66000366210938,88.3499984741211,88.52999877929688,84.09490966796875,1517500.0
2018-12-31,1525042000.0,-986183000.0,538859000.0,-347075000.0,-347075000.0,191784000.0,-31616000.0,-29648000.0,160168000,160168000,-24219000.0,135949000,5619000.0,141568000,141568000,396221000.0,1231859000.0,748796000.0,2503754000.0,806497000.0,5055520000.0,5862017000.0,8365771000,1293651000.0,220318000.0,1827421000.0,2943660000.0,3769684000.0,5597105000,2768666000.0,8365771000,157975000.0,76562000.0,-44504000.0,180476000.0,370509000.0,-35211000.0,1868000.0,-35355000.0,-70444000.0,-78339000.0,-2206000.0,-148525000.0,186944000,2018-12-31,70.05999755859375,71.22000122070312,69.94999694824219,70.94999694824219,67.78109741210939,1678400.0
2019-03-31,1724757000.0,-1101215000.0,623542000.0,-408466000.0,-408466000.0,215076000.0,-29812000.0,-30918000.0,185264000,138318000,-32613000.0,105705000,0.0,105705000,105705000,243014000.0,1272053000.0,828298000.0,2529466000.0,797682000.0,5330763000.0,6128445000.0,8657911000,1242669000.0,346255000.0,1946922000.0,2940967000.0,3873536000.0,5820458000,2837453000.0,8657911000,105705000.0,67738000.0,55128000.0,-204047000.0,24524000.0,-36952000.0,-172838000.0,-217690000.0,-69809000.0,125893000.0,0.0,36067000.0,-153207000,2019-03-29,94.11000061035156,94.56999969482422,93.36000061035156,93.8000030517578,90.08455657958984,888100.0
2019-06-30,1810706000.0,-1138113000.0,672593000.0,-396634000.0,-396634000.0,275959000.0,-26220000.0,-30809000.0,249739000,249739000,-51654000.0,198085000,0.0,198085000,198085000,321326000.0,1288755000.0,849266000.0,2623251000.0,815003000.0,5337796000.0,6152799000.0,8776050000,1267819000.0,357700000.0,1955115000.0,2946493000.0,3865664000.0,5820779000,2955271000.0,8776050000,198085000.0,67769000.0,8435000.0,-65580000.0,208709000.0,-51507000.0,-18248000.0,-69755000.0,-69921000.0,11457000.0,0.0,-60596000.0,78312000,2019-06-28,98.8000030517578,100.43000030517578,98.58999633789062,100.1999969482422,96.74496459960938,1917000.0
2019-12-31,1775589000.0,-1124274000.0,651315000.0,-403223000.0,-403223000.0,248092000.0,-27527000.0,-29418000.0,220565000,197022000,-28900000.0,168122000,0.0,168122000,168122000,397253000.0,1217190000.0,806141000.0,2548430000.0,842318000.0,5278729000.0,6121047000.0,8669477000,1558490000.0,84700000.0,1748091000.0,2985716000.0,3888726000.0,5636817000,3032660000.0,8669477000,168122000.0,69993000.0,3475000.0,119618000.0,361208000.0,-48198000.0,0.0,-48198000.0,-71125000.0,-32363000.0,-143280000.0,-255612000.0,56721000,2019-12-31,115.0199966430664,115.7699966430664,114.62999725341795,115.26000213623048,112.37918090820312,479500.0
