Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,1197783000.0,-732300000.0,465483000.0,-236679000.0,-70212000.0,-32440000.0,228804000.0,1742000.0,230546000,-1388000.0,229158000,-88954000.0,140204000,140204000,140204000,879230000.0,25711000.0,16529000.0,989231000.0,1147059000.0,69167000.0,1816993000.0,2806224000,261016000.0,261016000.0,293498000.0,554514000,1135085000.0,-865081000.0,1985116000.0,2251710000.0,2806224000,140204000.0,32440000.0,-31471000.0,17238000.0,158411000.0,-55032000.0,-13793000.0,-68825000.0,-93073000.0,-45898000.0,44728000,2015-06-30,603.0,608.3900146484375,599.2899780273438,604.989990234375,604.989990234375,376000.0
2015-09-30,1216890000.0,-737518000.0,479372000.0,-242457000.0,-70066000.0,-33145000.0,236915000.0,1518000.0,238433000,-2156000.0,236277000,-91394000.0,144883000,144883000,144883000,959743000.0,24157000.0,17524000.0,1073233000.0,1180957000.0,68634000.0,1874689000.0,2947922000,244244000.0,244244000.0,302190000.0,546434000,1172498000.0,-895881000.0,2129999000.0,2401488000.0,2947922000,144883000.0,33145000.0,6883000.0,2522000.0,187433000.0,-67445000.0,-88472000.0,-155917000.0,-30800000.0,-14046000.0,16477000,2015-09-30,714.8900146484375,720.7100219726562,710.0,720.25,720.25,355400.0
2015-12-31,997507000.0,-665793000.0,331714000.0,-222651000.0,-46875000.0,-34140000.0,109063000.0,1795000.0,110858000,-5450000.0,105408000,-37534000.0,67874000,67874000,67874000,663204000.0,38283000.0,15043000.0,814647000.0,1217220000.0,70260000.0,1910419000.0,2725066000,279942000.0,279942000.0,317150000.0,597092000,1172986000.0,-1234612000.0,2197873000.0,2127974000.0,2725066000,67874000.0,34140000.0,28576000.0,-35837000.0,94753000.0,-75578000.0,-60343000.0,-135921000.0,-313553000.0,-313955000.0,-356157000,2015-12-31,483.1099853515625,485.7799987792969,477.9700012207031,479.8500061035156,479.8500061035156,1196600.0
2016-03-31,834459000.0,-622439000.0,212020000.0,-256408000.0,-62010000.0,-34788000.0,-44388000.0,2126000.0,-42262000,-2216000.0,-44478000,18046000.0,-26432000,-26432000,-26432000,250805000.0,23692000.0,16885000.0,374740000.0,1241602000.0,68799000.0,1766080000.0,2140820000,271963000.0,271963000.0,328603000.0,600566000,1184501000.0,-1811237000.0,2171441000.0,1540254000.0,2140820000,-26432000.0,34788000.0,14086000.0,39237000.0,61679000.0,-62921000.0,585648000.0,522727000.0,-583802000.0,-583132000.0,2800000,2016-03-31,468.95001220703125,473.75,462.510009765625,470.9700012207031,470.9700012207031,802400.0
2016-06-30,998383000.0,-691182000.0,307201000.0,-263119000.0,-70756000.0,-36074000.0,44082000.0,786000.0,44868000,-3187000.0,41681000,-16085000.0,25596000,25596000,25596000,270144000.0,23208000.0,16966000.0,387707000.0,1269335000.0,68394000.0,1714093000.0,2101800000,276528000.0,276528000.0,339229000.0,615757000,1205583000.0,-1911870000.0,2197037000.0,1486043000.0,2101800000,25596000.0,36074000.0,22690000.0,33626000.0,117986000.0,-63791000.0,0.0,-63791000.0,-116234000.0,-114910000.0,-60845000,2016-06-30,409.489990234375,409.8699951171875,401.5700073242188,402.760009765625,402.760009765625,1073900.0
2016-09-30,1036982000.0,-724245000.0,312737000.0,-286374000.0,-78405000.0,-37434000.0,26363000.0,672000.0,27035000,-16637000.0,10398000,-2599000.0,7799000,7799000,7799000,359149000.0,22103000.0,18382000.0,468897000.0,1278672000.0,68805000.0,1598136000.0,2067033000,279499000.0,279499000.0,346514000.0,626013000,1224118000.0,-1982488000.0,2204836000.0,1441020000.0,2067033000,7799000.0,37434000.0,32020000.0,24154000.0,101407000.0,-65540000.0,0.0,-65540000.0,-71318000.0,-71401000.0,-35832000,2016-09-30,421.3599853515625,428.8999938964844,418.010009765625,423.5,423.5,996500.0
2016-12-31,1034560000.0,-726351000.0,308209000.0,-275822000.0,-65069000.0,-38072000.0,32387000.0,588000.0,32975000,-1837000.0,31138000,-15163000.0,15975000,15975000,15975000,417716000.0,40451000.0,15019000.0,522374000.0,1303558000.0,75116000.0,1503729000.0,2026103000,281793000.0,281793000.0,341817000.0,623610000,1239233000.0,-2049389000.0,2220811000.0,1402493000.0,2026103000,15975000.0,38072000.0,2854000.0,17187000.0,74088000.0,-66590000.0,0.0,-66590000.0,-65406000.0,-66840000.0,-60330000,2016-12-30,376.5199890136719,382.489990234375,375.1600036621094,377.3200073242188,377.3200073242188,890500.0
2017-03-31,1068829000.0,-728608000.0,340221000.0,-263398000.0,-69441000.0,-39279000.0,76823000.0,1188000.0,78011000,-3650000.0,74361000,-28241000.0,46120000,46120000,46120000,577040000.0,21582000.0,18319000.0,663964000.0,1322622000.0,75676000.0,1398298000.0,2062262000,306323000.0,306323000.0,348217000.0,654540000,1255886000.0,-2107426000.0,2266931000.0,1407722000.0,2062262000,46120000.0,39279000.0,17171000.0,48020000.0,150590000.0,-57088000.0,0.0,-57088000.0,-59137000.0,-59131000.0,34544000,2017-03-31,447.1300048828125,453.0799865722656,444.1499938964844,445.5199890136719,445.5199890136719,914400.0
2017-06-30,1169409000.0,-785324000.0,384085000.0,-277744000.0,-70075000.0,-41081000.0,106341000.0,1049000.0,107390000,384000.0,107774000,-41044000.0,66730000,66730000,66730000,569603000.0,24940000.0,19126000.0,663965000.0,1328280000.0,76306000.0,1404586000.0,2068551000,267785000.0,267785000.0,350570000.0,618355000,1276643000.0,-2154517000.0,2333661000.0,1450196000.0,2068551000,66730000.0,41081000.0,17076000.0,-31849000.0,93038000.0,-56627000.0,60078000.0,3451000.0,-44690000.0,-44687000.0,52759000,2017-06-30,420.760009765625,423.75,415.8299865722656,416.1000061035156,416.1000061035156,740100.0
2017-09-30,1128074000.0,-784628000.0,343446000.0,-305832000.0,-99182000.0,-41546000.0,37614000.0,1275000.0,38889000,-6747000.0,32142000,-12532000.0,19610000,19610000,19610000,548357000.0,23870000.0,21634000.0,655936000.0,1331786000.0,76655000.0,1408441000.0,2064377000,323402000.0,323402000.0,353849000.0,677251000,1294674000.0,-2257174000.0,2353271000.0,1387126000.0,2064377000,19610000.0,41546000.0,19094000.0,55429000.0,135679000.0,-51791000.0,-40162000.0,-91953000.0,-105132000.0,-105757000.0,-61230000,2017-09-29,315.8500061035156,316.489990234375,307.0899963378906,307.8299865722656,307.8299865722656,1195800.0
