Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2017-09-30,4095906000.0,-2869016000.0,1226890000.0,-971497000.0,-931500000.0,-40276000.0,255393000.0,246355000,246355000,-87913000.0,158442000,158442000,158442000,210082000.0,2155948000.0,3354178000.0,6316608000.0,760213000.0,2417413000.0,3177626000.0,9494234000,3400780000.0,595000000.0,4802667000.0,550000000.0,1301439000.0,6104106000,212765000.0,4042404000.0,3390128000.0,9494234000,158442000.0,40276000.0,4567000.0,-6212000.0,197073000.0,-43086000.0,-49137000.0,-92223000.0,-99109000.0,15000000.0,-18376000.0,-102760000.0,6937000,2017-09-29,95.47000122070312,96.0500030517578,95.02999877929688,95.6500015258789,85.26081848144531,738000.0
2017-12-31,4207076000.0,-2923001000.0,1284075000.0,-1043851000.0,-1010434000.0,-50051000.0,240224000.0,222001000,222001000,-113818000.0,108183000,108183000,108183000,314899000.0,2421563000.0,3771089000.0,7312893000.0,936702000.0,4162786000.0,5099488000.0,12412381000,3733859000.0,694989000.0,5474025000.0,2550020000.0,3474200000.0,8948225000,214779000.0,4049965000.0,3464156000.0,12412381000,108183000.0,50051000.0,51300000.0,63152000.0,272686000.0,-38304000.0,-1205442000.0,-1243746000.0,-98958000.0,1176297000.0,-1640000.0,1073749000.0,104817000,2017-12-29,95.4000015258789,95.93000030517578,94.9800033569336,95.01000213623048,85.30472564697266,494900.0
2018-03-31,4586294000.0,-3150487000.0,1435807000.0,-1182379000.0,-1133771000.0,-58363000.0,253428000.0,229319000,229319000,-52743000.0,176576000,176576000,176576000,325973000.0,2641151000.0,3772919000.0,7581612000.0,931288000.0,4246494000.0,5177782000.0,12759394000,3906942000.0,751614000.0,5757472000.0,2564111000.0,3440541000.0,9198013000,214865000.0,4114472000.0,3561381000.0,12759394000,176576000.0,58363000.0,1169000.0,-97741000.0,138367000.0,-31633000.0,-38588000.0,-70221000.0,-99000000.0,47691000.0,0.0,-55485000.0,11074000,2018-03-29,89.16999816894531,90.41999816894531,89.08000183105469,89.83999633789062,81.30147552490234,719900.0
2018-06-30,4822065000.0,-3300479000.0,1521586000.0,-1194839000.0,-1148217000.0,-58451000.0,326747000.0,300271000,300271000,-73299000.0,226972000,226972000,226972000,355141000.0,2669649000.0,3484949000.0,7523369000.0,918578000.0,4124575000.0,5043153000.0,12566522000,3954717000.0,686415000.0,5656894000.0,2490552000.0,3347301000.0,9004195000,218964000.0,4236359000.0,3562327000.0,12566522000,226972000.0,58451000.0,5267000.0,26018000.0,316708000.0,-33513000.0,-43957000.0,-77470000.0,-105649000.0,-94069000.0,0.0,-200393000.0,29168000,2018-06-29,91.91999816894531,92.79000091552734,91.79000091552734,91.79000091552734,83.7064208984375,769000.0
2018-09-30,4722922000.0,-3238687000.0,1484235000.0,-1167416000.0,-1119266000.0,-61082000.0,316819000.0,291735000,291735000,-71508000.0,220227000,220227000,220227000,359105000.0,2655888000.0,3536503000.0,7550495000.0,937740000.0,4168884000.0,5106624000.0,12657119000,4165643000.0,450493000.0,5661189000.0,2463452000.0,3332851000.0,8994040000,224317000.0,4349014000.0,3663079000.0,12657119000,220227000.0,61082000.0,5902000.0,183240000.0,470451000.0,-26796000.0,-71443000.0,-98239000.0,-105661000.0,-257581000.0,-1918000.0,-366169000.0,3964000,2018-09-28,99.25,99.7699966430664,99.04000091552734,99.4000015258789,91.29634857177734,509800.0
2018-12-31,2700324000.0,-1622197000.0,1078127000.0,-878687000.0,-839949000.0,-49688000.0,199440000.0,173313000,173313000,-47554000.0,125759000,186699000,186699000,333547000.0,2493636000.0,3609389000.0,7575690000.0,1027231000.0,4080119000.0,5107350000.0,12683040000,4101158000.0,711147000.0,5900733000.0,2432133000.0,3310316000.0,9211049000,224317000.0,4341212000.0,3471991000.0,12683040000,125759000.0,49688000.0,4408000.0,-48659000.0,131196000.0,-120173000.0,-103835000.0,-224008000.0,-105673000.0,243985000.0,-90065000.0,13217000.0,-25558000,2018-12-31,95.9000015258789,96.37000274658205,95.08999633789062,96.0199966430664,88.81128692626953,600900.0
2019-09-30,4525284000.0,-3020051000.0,1505233000.0,-1194903000.0,-1175699000.0,-65667000.0,310330000.0,283879000,283879000,-71623000.0,212256000,227487000,227487000,451275000.0,2739971000.0,3718307000.0,8058671000.0,1118912000.0,5335607000.0,6454519000.0,14513190000,4306653000.0,622132000.0,6372813000.0,2795878000.0,4475640000.0,10848453000,235853000.0,4674918000.0,3664737000.0,14513190000,182779000.0,58837000.0,7972000.0,126895000.0,376483000.0,-59328000.0,137933000.0,78605000.0,-111382000.0,-434054000.0,-73052000.0,-618612000.0,-111276000,2019-09-30,99.13999938964844,99.9800033569336,98.69000244140624,99.58999633789062,94.25973510742188,707800.0
2019-12-31,3802186000.0,-2438608000.0,1363578000.0,-1117118000.0,-1070710000.0,-66935000.0,246460000.0,224473000,81693000,-17243000.0,64450000,8918000,8918000,276992000.0,2440252000.0,3443876000.0,7938616000.0,1173688000.0,5533325000.0,6707013000.0,14645629000,4058851000.0,624043000.0,6394120000.0,2802056000.0,4556009000.0,10950129000,244155000.0,4571860000.0,3695500000.0,14645629000,79016000.0,70295000.0,-97811000.0,103161000.0,154661000.0,-87446000.0,-70756000.0,-158202000.0,-110784000.0,-39808000.0,-1135000.0,-156516000.0,-174283000,2019-12-31,105.79000091552734,106.4000015258789,105.70999908447266,106.2300033569336,101.28911590576172,412700.0
2020-03-31,4092526000.0,-2704348000.0,1388178000.0,-1203638000.0,-1142697000.0,-67254000.0,184540000.0,163575000,160593000,-38247000.0,122346000,136535000,136535000,354469000.0,2705192000.0,3698928000.0,7993050000.0,1180205000.0,5278100000.0,6458305000.0,14451355000,4181876000.0,908865000.0,6581220000.0,2726391000.0,4447104000.0,11028324000,248127000.0,4487904000.0,3423031000.0,14451355000,122346000.0,67254000.0,4274000.0,-166014000.0,27860000.0,-35587000.0,6609000.0,-28978000.0,-110851000.0,261238000.0,-95719000.0,53456000.0,77477000,2020-03-31,65.45999908447266,68.04000091552734,64.58999633789061,67.33000183105469,64.77172088623047,1885900.0
2020-06-30,3823227000.0,-2532740000.0,1290487000.0,-1037678000.0,-971589000.0,-66733000.0,252809000.0,227344000,-304436000,-59065000.0,-363501000,-564372000,-564372000,983759000.0,1823357000.0,3351751000.0,7291328000.0,1133990000.0,4838644000.0,5972634000.0,13263962000,3858999000.0,489028000.0,5968730000.0,2727929000.0,4424344000.0,10393074000,252083000.0,3809564000.0,2870888000.0,13263962000,-363501000.0,66733000.0,523819000.0,665809000.0,892860000.0,-31933000.0,360735000.0,328802000.0,-114476000.0,-458400000.0,0.0,-580811000.0,629290000,2020-06-30,86.69999694824219,87.44000244140625,85.5999984741211,86.95999908447266,84.40388488769531,852700.0
