Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-12-31,50130000000.0,-47318000000.0,2812000000.0,-1981000000.0,831000000.0,-51000000.0,-74000000.0,780000000,780000000,-131000000.0,649000000,-3000000.0,633000000,633000000,2434000000.0,18198000000.0,16121000000.0,39268000000.0,2411000000.0,16195000000.0,18606000000.0,57874000000,33924000000.0,3154000000.0,38174000000.0,5969000000.0,10534000000.0,48708000000,6040000000.0,-5780000000.0,9663000000.0,9166000000.0,57874000000,646000000.0,204000000.0,-80000000.0,-389000000.0,381000000.0,-95000000.0,-2133000000.0,-2273000000.0,-63000000.0,1019000000.0,-1988000000.0,-1031000000.0,-3030000000,2016-12-30,141.47000122070312,142.25999450683594,140.10000610351562,140.44999694824222,134.14213562011722,1204700.0
2017-03-31,48713000000.0,-45917000000.0,2796000000.0,-1986000000.0,810000000.0,-65000000.0,-77000000.0,745000000,4674000000,-1044000000.0,3630000000,-7000000.0,3588000000,3588000000,2783000000.0,18215000000.0,15278000000.0,36948000000.0,2292000000.0,17666000000.0,24021000000.0,60969000000,34026000000.0,1240000000.0,35612000000.0,7305000000.0,12755000000.0,48367000000,6031000000.0,-5982000000.0,13189000000.0,12602000000.0,60969000000,3623000000.0,247000000.0,-3934000000.0,1499000000.0,1435000000.0,-158000000.0,1371000000.0,-177000000.0,-61000000.0,-613000000.0,-220000000.0,-924000000.0,349000000,2017-03-31,148.91000366210938,149.22999572753906,147.6699981689453,148.25999450683594,141.86465454101562,1733600.0
2017-06-30,51051000000.0,-48491000000.0,2560000000.0,-1927000000.0,633000000.0,-175000000.0,-68000000.0,458000000,458000000,-95000000.0,363000000,2000000.0,309000000,309000000,2339000000.0,19132000000.0,15498000000.0,37697000000.0,2349000000.0,17915000000.0,24119000000.0,61816000000,34992000000.0,528000000.0,35799000000.0,7424000000.0,13110000000.0,48909000000,6083000000.0,-6282000000.0,13442000000.0,12907000000.0,61816000000,365000000.0,227000000.0,153000000.0,-4000000.0,741000000.0,-75000000.0,-1482000000.0,-129000000.0,-62000000.0,-722000000.0,-273000000.0,-1131000000.0,-444000000,2017-06-30,164.49000549316406,165.32000732421875,163.27000427246094,164.5399932861328,157.7132110595703,1235200.0
2017-12-31,53617000000.0,-50902000000.0,2715000000.0,-1984000000.0,731000000.0,-137000000.0,-67000000.0,594000000,697000000,263000000.0,960000000,1000000.0,903000000,903000000,2619000000.0,20015000000.0,17103000000.0,40195000000.0,2401000000.0,17913000000.0,24018000000.0,64213000000,36304000000.0,1280000000.0,37652000000.0,7514000000.0,13153000000.0,50805000000,6256000000.0,-6997000000.0,14202000000.0,13408000000.0,64213000000,961000000.0,234000000.0,-124000000.0,-1089000000.0,-18000000.0,-105000000.0,60000000.0,-87000000.0,-71000000.0,445000000.0,-219000000.0,125000000.0,54000000,2017-12-29,158.27999877929688,158.35000610351562,155.85000610351562,155.9499969482422,150.1703643798828,641700.0
2018-03-31,51628000000.0,-48553000000.0,3075000000.0,-2343000000.0,732000000.0,-28000000.0,-79000000.0,704000000,-1094000000,7000000.0,-1087000000,2000000.0,-1146000000,-1146000000,2672000000.0,17711000000.0,16310000000.0,37136000000.0,2464000000.0,17053000000.0,23245000000.0,60381000000,35556000000.0,1129000000.0,36685000000.0,6751000000.0,12179000000.0,48864000000,6191000000.0,-7655000000.0,12986000000.0,11517000000.0,60381000000,-1085000000.0,254000000.0,1652000000.0,2203000000.0,3024000000.0,-136000000.0,-995000000.0,430000000.0,-70000000.0,-969000000.0,-740000000.0,-1937000000.0,1524000000,2018-03-29,141.08999633789062,141.9600067138672,140.19000244140622,140.8699951171875,135.94999694824222,1560400.0
2018-06-30,52607000000.0,-49828000000.0,2779000000.0,-2127000000.0,652000000.0,-77000000.0,-61000000.0,575000000,6000000,-87000000.0,-81000000,1000000.0,-138000000,-138000000,2199000000.0,19093000000.0,16364000000.0,38214000000.0,2483000000.0,16913000000.0,23068000000.0,61282000000,35188000000.0,3160000000.0,38348000000.0,6592000000.0,11864000000.0,50212000000,6375000000.0,-8098000000.0,12932000000.0,11070000000.0,61282000000,-80000000.0,235000000.0,566000000.0,-1782000000.0,-1061000000.0,-101000000.0,-826000000.0,-875000000.0,-71000000.0,2029000000.0,-285000000.0,1541000000.0,-473000000,2018-06-29,135.89999389648438,136.25999450683594,132.83999633789062,133.39999389648438,129.04466247558594,2260200.0
2018-09-30,53075000000.0,-50271000000.0,2804000000.0,-2033000000.0,771000000.0,-102000000.0,-66000000.0,669000000,587000000,-35000000.0,552000000,1000000.0,499000000,499000000,2118000000.0,19213000000.0,16671000000.0,38544000000.0,2488000000.0,16780000000.0,22877000000.0,61421000000,36343000000.0,2520000000.0,38863000000.0,6568000000.0,11607000000.0,50470000000,6414000000.0,-8678000000.0,13354000000.0,10951000000.0,61421000000,553000000.0,240000000.0,-24000000.0,610000000.0,1379000000.0,-77000000.0,32000000.0,-108000000.0,-68000000.0,-641000000.0,-565000000.0,-1343000000.0,-81000000,2018-09-28,131.5,133.41000366210938,130.91999816894528,132.64999389648438,128.70533752441406,1168500.0
2018-12-31,56208000000.0,-53238000000.0,2970000000.0,-2156000000.0,814000000.0,-33000000.0,-67000000.0,781000000,650000000,-123000000.0,527000000,-1000000.0,469000000,469000000,1849000000.0,18932000000.0,16951000000.0,38319000000.0,2503000000.0,16623000000.0,22692000000.0,61011000000,35256000000.0,2168000000.0,37424000000.0,7616000000.0,12792000000.0,50216000000,6324000000.0,-8587000000.0,13276000000.0,10795000000.0,61011000000,526000000.0,239000000.0,132000000.0,-1074000000.0,-177000000.0,-131000000.0,9000000.0,-168000000.0,-77000000.0,743000000.0,-492000000.0,119000000.0,-269000000,2018-12-31,110.37000274658205,111.2699966430664,109.54000091552734,110.47000122070312,107.51506042480469,962300.0
2019-03-31,52429000000.0,-49228000000.0,3201000000.0,-2121000000.0,1080000000.0,-64000000.0,-70000000.0,1016000000,-633000000,-111000000.0,-744000000,0.0,-796000000,-796000000,2981000000.0,18246000000.0,16709000000.0,38465000000.0,2548000000.0,15146000000.0,21207000000.0,59672000000,37296000000.0,330000000.0,37626000000.0,7265000000.0,12364000000.0,49990000000,6438000000.0,-8902000000.0,12409000000.0,9682000000.0,59672000000,-744000000.0,235000000.0,1544000000.0,2860000000.0,3895000000.0,-117000000.0,-19000000.0,-230000000.0,-76000000.0,-2072000000.0,1342000000.0,-2544000000.0,1132000000,2019-03-29,116.0199966430664,117.25,115.19000244140624,117.05999755859376,114.27855682373048,1115900.0
2019-06-30,55728000000.0,-52941000000.0,2787000000.0,-2130000000.0,657000000.0,-15000000.0,-56000000.0,642000000,619000000,-136000000.0,483000000,-6000000.0,423000000,423000000,1947000000.0,19287000000.0,16604000000.0,38428000000.0,2466000000.0,17169000000.0,23252000000.0,61680000000,37269000000.0,310000000.0,37952000000.0,7382000000.0,14260000000.0,52212000000,6486000000.0,-9603000000.0,12770000000.0,9468000000.0,61680000000,477000000.0,229000000.0,107000000.0,-864000000.0,-51000000.0,-87000000.0,-46000000.0,-129000000.0,-75000000.0,0.0,-679000000.0,-872000000.0,-1034000000,2019-06-28,133.83999633789062,134.96000671386722,132.72999572753906,134.38999938964844,131.61123657226562,3192300.0
2019-09-30,57616000000.0,-54749000000.0,2867000000.0,-2196000000.0,671000000.0,-1596000000.0,-64000000.0,-925000000,-970000000,294000000.0,-676000000,-1000000.0,-730000000,-730000000,1356000000.0,18984000000.0,16356000000.0,37353000000.0,2493000000.0,16981000000.0,21641000000.0,58994000000,35932000000.0,851000000.0,37145000000.0,7342000000.0,13771000000.0,50916000000,6576000000.0,-10353000000.0,11965000000.0,8078000000.0,58994000000,-677000000.0,234000000.0,1631000000.0,-1296000000.0,-108000000.0,-39000000.0,-46000000.0,-156000000.0,-73000000.0,543000000.0,-695000000.0,-331000000.0,-591000000,2019-09-30,135.0,137.99000549316406,134.97000122070312,136.66000366210938,134.23324584960938,1905900.0
2019-12-31,59172000000.0,-56139000000.0,3033000000.0,-2535000000.0,498000000.0,-66000000.0,-64000000.0,432000000,294000000,-47000000.0,247000000,-5000000.0,186000000,186000000,2065000000.0,18831000000.0,17020000000.0,39390000000.0,2408000000.0,16932000000.0,21483000000.0,60873000000,36103000000.0,3116000000.0,40055000000.0,6734000000.0,13034000000.0,53089000000,6617000000.0,-10853000000.0,12075000000.0,7784000000.0,60873000000,242000000.0,228000000.0,170000000.0,-761000000.0,-121000000.0,-116000000.0,1000000.0,-124000000.0,-74000000.0,1647000000.0,1374000000.0,949000000.0,709000000,2019-12-31,136.69999694824222,138.39999389648438,136.30000305175778,138.32000732421878,136.24560546875,626700.0
