Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-03-31,362100000.0,-238800000.0,123300000.0,-93300000.0,-58100000.0,-9400000.0,30000000.0,-2200000.0,-2200000.0,27800000,27800000,-6900000.0,22100000,22100000,22100000,178100000.0,209600000.0,194100000.0,630700000.0,732500000.0,305000000.0,1037500000.0,1668200000,158500000.0,2500000.0,241100000.0,229500000.0,353100000.0,594200000,256800000.0,-12800000.0,978000000.0,1074000000.0,1668200000,22100000.0,22300000.0,18600000.0,-60000000.0,3000000.0,-39000000.0,-38600000.0,-8700000.0,-68000000.0,3500000.0,-65100000.0,-96500000,2016-03-31,68.25,69.58999633789061,68.22000122070311,69.31999969482422,67.50447845458984,577300.0
2016-06-30,388000000.0,-254700000.0,133300000.0,-72100000.0,-62500000.0,-8800000.0,61200000.0,-1700000.0,-1700000.0,59500000,59500000,-17000000.0,44700000,44700000,44700000,202700000.0,219000000.0,197700000.0,659200000.0,741200000.0,304700000.0,1045900000.0,1705100000,171700000.0,2500000.0,239400000.0,228900000.0,356300000.0,595700000,259000000.0,-13100000.0,1013800000.0,1109400000.0,1705100000,44800000.0,22700000.0,9200000.0,-500000.0,76200000.0,-35000000.0,-42600000.0,-8800000.0,-600000.0,-1000000.0,-7400000.0,24600000,2016-06-30,74.56999969482422,75.9000015258789,74.22000122070312,75.87999725341797,74.0172119140625,618500.0
2016-09-30,376700000.0,-255600000.0,121100000.0,-69800000.0,-58300000.0,-9000000.0,51300000.0,-2000000.0,-2000000.0,49300000,49300000,-14400000.0,37600000,37600000,37600000,205900000.0,209500000.0,201100000.0,658100000.0,772700000.0,304500000.0,1077200000.0,1735300000,161100000.0,2600000.0,236800000.0,228600000.0,356200000.0,593000000,266000000.0,-21800000.0,1041900000.0,1142300000.0,1735300000,37600000.0,22900000.0,-1500000.0,9400000.0,68400000.0,-48700000.0,-47900000.0,-8700000.0,-600000.0,-7500000.0,-15000000.0,3200000,2016-09-30,73.7300033569336,74.80000305175781,73.44000244140625,74.5,72.78338623046875,440100.0
2016-12-31,382300000.0,-258600000.0,123700000.0,-71000000.0,-60700000.0,-9600000.0,52700000.0,500000.0,-1100000.0,53200000,53200000,-16100000.0,39200000,39200000,39200000,203000000.0,200500000.0,199300000.0,641900000.0,778300000.0,296500000.0,1074800000.0,1716700000,178100000.0,2400000.0,241000000.0,226200000.0,358200000.0,599200000,278800000.0,-46100000.0,1071600000.0,1117500000.0,1716700000,39100000.0,22800000.0,17500000.0,-7600000.0,71800000.0,-47500000.0,-46700000.0,-9600000.0,-600000.0,-21300000.0,-26400000.0,-2900000,2016-12-30,85.69999694824219,85.76000213623047,84.63999938964844,84.83000183105469,83.02352142333984,284100.0
2017-03-31,387700000.0,-253500000.0,134200000.0,-73700000.0,-62500000.0,-10300000.0,60500000.0,-1000000.0,-1800000.0,59500000,59500000,-2200000.0,60900000,60900000,60900000,169400000.0,224800000.0,212300000.0,652600000.0,782800000.0,298100000.0,1080900000.0,1733500000,156200000.0,34400000.0,256500000.0,194200000.0,308400000.0,564900000,294600000.0,-65800000.0,1118800000.0,1168600000.0,1733500000,60900000.0,23300000.0,300000.0,-63800000.0,20700000.0,-37500000.0,-34700000.0,-9500000.0,-600000.0,-8800000.0,-21800000.0,-33600000,2017-03-31,81.79000091552734,82.16000366210938,81.20999908447266,81.61000061035156,79.9930191040039,386200.0
2017-06-30,397600000.0,-272600000.0,125000000.0,-83000000.0,-61300000.0,-10000000.0,42000000.0,-1300000.0,-1900000.0,40700000,40700000,-2900000.0,38800000,38800000,38800000,226600000.0,242400000.0,211300000.0,717800000.0,811800000.0,313400000.0,1125200000.0,1843000000,181400000.0,33800000.0,289000000.0,195700000.0,311600000.0,600600000,311000000.0,-64800000.0,1148000000.0,1242400000.0,1843000000,38800000.0,23500000.0,16200000.0,6800000.0,85300000.0,-29500000.0,-35500000.0,-9600000.0,-600000.0,11400000.0,2300000.0,57200000,2017-06-30,94.3000030517578,94.88999938964844,93.87999725341795,94.5199966430664,92.80068969726562,256800.0
2017-09-30,398200000.0,-273100000.0,125100000.0,-62200000.0,-62600000.0,-9100000.0,62900000.0,0.0,-1100000.0,62900000,62900000,-14000000.0,51000000,51000000,51000000,269300000.0,251800000.0,215800000.0,776900000.0,835400000.0,318100000.0,1153500000.0,1930400000,192200000.0,33200000.0,300000000.0,196600000.0,313500000.0,613500000,321600000.0,-62700000.0,1188600000.0,1316900000.0,1930400000,51000000.0,25000000.0,5000000.0,-5200000.0,75800000.0,-34300000.0,-34000000.0,-9600000.0,-600000.0,6500000.0,-3000000.0,42700000,2017-09-29,96.1999969482422,96.73999786376952,95.91000366210938,96.26000213623048,94.6404800415039,436200.0
2018-12-31,422500000.0,-289300000.0,133200000.0,-67400000.0,-59700000.0,-9800000.0,65800000.0,0.0,-1600000.0,65800000,65800000,-14900000.0,52000000,52000000,52000000,337400000.0,288200000.0,214500000.0,894400000.0,822000000.0,262500000.0,1084500000.0,1978900000,204700000.0,100000.0,283700000.0,196000000.0,298900000.0,582600000,300800000.0,-103700000.0,1353400000.0,1396300000.0,1978900000,52000000.0,26300000.0,-5400000.0,300000.0,73200000.0,-30000000.0,-28600000.0,-11100000.0,-100000.0,0.0,-8200000.0,40100000,2018-12-31,96.9800033569336,98.3000030517578,96.63999938964844,98.02999877929688,97.07731628417969,439200.0
2019-12-31,470600000.0,-317400000.0,153200000.0,-75100000.0,-69000000.0,-10200000.0,78100000.0,-700000.0,-800000.0,77400000,77400000,-16500000.0,63900000,63900000,63900000,439100000.0,319300000.0,235700000.0,1058700000.0,839300000.0,443400000.0,1282700000.0,2341400000,236200000.0,2300000.0,341600000.0,255000000.0,426600000.0,768200000,291500000.0,-118100000.0,1549400000.0,1573200000.0,2341400000,63900000.0,26300000.0,14300000.0,1900000.0,106400000.0,-37600000.0,-120600000.0,-11800000.0,62100000.0,0.0,51000000.0,43100000,2019-12-31,150.66000366210938,151.57000732421875,149.8800048828125,150.3300018310547,149.626220703125,480600.0
2020-03-31,491500000.0,-324500000.0,167000000.0,-79000000.0,-71800000.0,-10700000.0,88000000.0,-1500000.0,-1200000.0,86500000,86500000,-15000000.0,74300000,74300000,74300000,335300000.0,333000000.0,251000000.0,977500000.0,828300000.0,440700000.0,1269000000.0,2246500000,233000000.0,2300000.0,344400000.0,254400000.0,411900000.0,756300000,286400000.0,-215700000.0,1611800000.0,1490200000.0,2246500000,74300000.0,26000000.0,2400000.0,-45600000.0,57100000.0,-32100000.0,-31900000.0,-11800000.0,-600000.0,-115500000.0,-120300000.0,-103800000,2020-03-31,153.02000427246094,159.8300018310547,151.6699981689453,152.25,151.6912384033203,555600.0
2020-06-30,527200000.0,-332100000.0,195100000.0,-91500000.0,-77700000.0,-10800000.0,103600000.0,-1600000.0,-1800000.0,102000000,102000000,-16000000.0,91200000,91200000,91200000,445900000.0,340600000.0,274800000.0,1110600000.0,839800000.0,441900000.0,1281700000.0,2392300000,261200000.0,2300000.0,375200000.0,253900000.0,410800000.0,786000000,281900000.0,-190800000.0,1703000000.0,1606300000.0,2392300000,91200000.0,26200000.0,12400000.0,18300000.0,148100000.0,-40900000.0,-40900000.0,-11800000.0,-500000.0,0.0,-900000.0,110600000,2020-06-30,220.3800048828125,227.9600067138672,218.8699951171875,227.1699981689453,226.5489959716797,778900.0
