Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,1370000000.0,-492000000.0,878000000.0,-753000000.0,125000000.0,-58000000.0,-75000000.0,67000000,67000000,-20000000.0,47000000,49000000,49000000,5000000.0,504000000.0,524000000.0,1694000000.0,17424000000.0,3171000000.0,20595000000.0,22289000000,796000000.0,834000000.0,2249000000.0,6085000000.0,13185000000.0,15434000000,5619000000.0,1103000000.0,6855000000.0,22289000000,47000000.0,184000000.0,80000000.0,52000000.0,362000000.0,-475000000.0,-3000000.0,-505000000.0,-99000000.0,256000000.0,135000000.0,-8000000,2014-12-31,47.27000045776367,47.4000015258789,46.08000183105469,46.13000106811523,37.678958892822266,1345700.0
2015-03-31,1556000000.0,-581000000.0,975000000.0,-719000000.0,256000000.0,-80000000.0,-88000000.0,176000000,176000000,-66000000.0,110000000,110000000,110000000,6000000.0,624000000.0,449000000.0,1993000000.0,17700000000.0,3191000000.0,20891000000.0,22884000000,528000000.0,1335000000.0,2520000000.0,5860000000.0,13518000000.0,16038000000,5602000000.0,1111000000.0,6846000000.0,22884000000,110000000.0,195000000.0,79000000.0,-73000000.0,312000000.0,-417000000.0,-5000000.0,-439000000.0,-99000000.0,241000000.0,128000000.0,1000000,2015-03-31,42.08000183105469,42.70000076293945,41.90999984741211,42.20000076293945,34.817550659179695,1915100.0
2015-06-30,1401000000.0,-352000000.0,1049000000.0,-743000000.0,306000000.0,-79000000.0,-89000000.0,227000000,158000000,-59000000.0,99000000,151000000,151000000,2000000.0,568000000.0,500000000.0,1991000000.0,17986000000.0,3175000000.0,21161000000.0,23152000000,584000000.0,1281000000.0,2556000000.0,5981000000.0,13690000000.0,16246000000,5608000000.0,1161000000.0,6906000000.0,23152000000,99000000.0,192000000.0,154000000.0,26000000.0,469000000.0,-429000000.0,-2000000.0,-436000000.0,-100000000.0,66000000.0,-37000000.0,-4000000,2015-06-30,37.84000015258789,37.97000122070313,37.59000015258789,37.68000030517578,31.42404937744141,2036600.0
2015-09-30,1833000000.0,-450000000.0,1383000000.0,-757000000.0,626000000.0,-73000000.0,-87000000.0,553000000,553000000,-208000000.0,345000000,345000000,345000000,72000000.0,621000000.0,548000000.0,1983000000.0,18307000000.0,3169000000.0,21476000000.0,23459000000,628000000.0,1178000000.0,2489000000.0,5981000000.0,13814000000.0,16303000000,5614000000.0,1405000000.0,7156000000.0,23459000000,345000000.0,195000000.0,234000000.0,-9000000.0,761000000.0,-486000000.0,-4000000.0,-487000000.0,-99000000.0,-103000000.0,-204000000.0,70000000,2015-09-30,41.900001525878906,42.290000915527344,41.63000106811523,42.27000045776367,35.63083267211914,1522200.0
2015-12-31,1308000000.0,-424000000.0,884000000.0,-744000000.0,140000000.0,-79000000.0,-91000000.0,61000000,61000000,-30000000.0,31000000,30000000,30000000,292000000.0,486000000.0,538000000.0,1917000000.0,18799000000.0,2924000000.0,21723000000.0,23640000000,866000000.0,696000000.0,2093000000.0,6880000000.0,14459000000.0,16552000000,5618000000.0,1331000000.0,7088000000.0,23640000000,31000000.0,195000000.0,74000000.0,188000000.0,489000000.0,-585000000.0,-3000000.0,-614000000.0,-104000000.0,460000000.0,345000000.0,220000000,2015-12-31,43.95000076293945,44.0,42.91999816894531,43.22999954223633,36.800926208496094,2080400.0
2016-03-31,1434000000.0,-493000000.0,941000000.0,-721000000.0,220000000.0,-82000000.0,-95000000.0,138000000,138000000,-31000000.0,107000000,107000000,107000000,13000000.0,484000000.0,483000000.0,1458000000.0,19000000000.0,2927000000.0,21927000000.0,23385000000,528000000.0,716000000.0,1839000000.0,6881000000.0,14535000000.0,16374000000,5541000000.0,1333000000.0,7011000000.0,23385000000,107000000.0,210000000.0,67000000.0,-35000000.0,349000000.0,-496000000.0,-5000000.0,-510000000.0,-103000000.0,20000000.0,-118000000.0,-279000000,2016-03-31,49.72000122070313,50.15999984741211,49.349998474121094,50.099998474121094,43.03550338745117,2533400.0
2016-06-30,1427000000.0,-342000000.0,1085000000.0,-760000000.0,325000000.0,-85000000.0,-95000000.0,240000000,240000000,-92000000.0,148000000,148000000,148000000,13000000.0,510000000.0,515000000.0,1594000000.0,19324000000.0,2875000000.0,22199000000.0,23793000000,601000000.0,1209000000.0,2430000000.0,6605000000.0,14299000000.0,16729000000,5547000000.0,1376000000.0,7064000000.0,23793000000,148000000.0,209000000.0,108000000.0,-51000000.0,414000000.0,-504000000.0,-4000000.0,-525000000.0,-103000000.0,217000000.0,111000000.0,0,2016-06-30,52.63999938964844,53.59000015258789,52.47000122070313,53.58000183105469,46.41935348510742,2390700.0
2016-09-30,1859000000.0,-417000000.0,1442000000.0,-751000000.0,691000000.0,-87000000.0,-97000000.0,604000000,604000000,-233000000.0,371000000,371000000,371000000,18000000.0,592000000.0,551000000.0,1599000000.0,19647000000.0,2888000000.0,22535000000.0,24134000000,623000000.0,1039000000.0,2291000000.0,6607000000.0,14508000000.0,16799000000,5552000000.0,1643000000.0,7335000000.0,24134000000,371000000.0,206000000.0,257000000.0,-38000000.0,796000000.0,-496000000.0,-4000000.0,-516000000.0,-103000000.0,-170000000.0,-275000000.0,5000000,2016-09-30,49.72999954223633,49.95000076293945,48.9000015258789,49.18000030517578,42.97518539428711,2012800.0
2016-12-31,1356000000.0,-455000000.0,901000000.0,-756000000.0,145000000.0,-86000000.0,-95000000.0,59000000,59000000,-26000000.0,33000000,33000000,33000000,9000000.0,500000000.0,527000000.0,1593000000.0,20113000000.0,2993000000.0,23106000000.0,24699000000,898000000.0,1239000000.0,2674000000.0,6595000000.0,14780000000.0,17454000000,5558000000.0,1568000000.0,7245000000.0,24699000000,33000000.0,210000000.0,58000000.0,264000000.0,564000000.0,-580000000.0,-2000000.0,-590000000.0,-107000000.0,184000000.0,17000000.0,-9000000,2016-12-30,52.4900016784668,52.88000106811523,52.25,52.459999084472656,46.25115203857422,950700.0
2017-03-31,1515000000.0,-516000000.0,999000000.0,-757000000.0,242000000.0,-81000000.0,-99000000.0,161000000,161000000,-57000000.0,104000000,104000000,104000000,8000000.0,524000000.0,467000000.0,1450000000.0,20298000000.0,3063000000.0,23361000000.0,24811000000,560000000.0,1595000000.0,2762000000.0,6597000000.0,14843000000.0,17605000000,5524000000.0,1563000000.0,7206000000.0,24811000000,104000000.0,217000000.0,75000000.0,-65000000.0,331000000.0,-504000000.0,-6000000.0,-539000000.0,-107000000.0,356000000.0,207000000.0,-1000000,2017-03-31,54.56000137329102,54.90999984741211,54.5,54.59000015258789,48.5235710144043,2105200.0
