Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-06-30,574411000.0,-230398000.0,344013000.0,-153678000.0,-40478000.0,-113200000.0,190335000.0,-48149000.0,-94517000.0,142186000,-162000.0,142024000,-3280000.0,138744000,26943000.0,97008000,76642000,1371226000.0,118217000.0,1649796000.0,14726223000.0,799734000.0,3561026000.0,19086983000.0,20736779000,9441484000.0,10325657000.0,1879952000.0,1991810000.0,12317467000,6957147000.0,-1872250000.0,8419312000.0,20736779000,165687000.0,134318000.0,39368000.0,-200861000.0,138512000.0,-123962000.0,-56209000.0,-149275000.0,-157302000.0,718039000.0,-59000.0,225262000.0,214499000,2014-06-30,78.38455963134766,78.57477569580078,77.36030578613281,78.08460235595703,58.03115844726562,1205972.0
2014-09-30,578710000.0,-240088000.0,338622000.0,-155206000.0,-40384000.0,-114822000.0,183416000.0,-95123000.0,-93249000.0,88293000,1388000.0,89681000,-2652000.0,87029000,82168000.0,151524000,131159000,1683142000.0,118636000.0,1962626000.0,14942827000.0,696631000.0,3398431000.0,19037889000.0,21000515000,9771777000.0,10641870000.0,1880125000.0,1993674000.0,12635544000,7048025000.0,-1878125000.0,8364971000.0,21000515000,169197000.0,135772000.0,-15120000.0,91077000.0,380926000.0,-153956000.0,57325000.0,-130625000.0,-157395000.0,285090000.0,0.0,61615000.0,311916000,2014-09-30,73.59983825683594,73.85590362548828,72.9487075805664,73.13160705566406,54.73147583007813,976205.0
2014-12-31,597010000.0,-246564000.0,350446000.0,-162395000.0,-40906000.0,-121489000.0,188051000.0,-63223000.0,-101775000.0,124828000,-14443000.0,110385000,-2498000.0,107887000,468099000.0,533603000,513238000,1198477000.0,109998000.0,1484679000.0,13660725000.0,720296000.0,5292280000.0,19673301000.0,21157980000,8635588000.0,10871040000.0,1342494000.0,1459778000.0,12330818000,6880518000.0,-1505385000.0,8827162000.0,21157980000,575986000.0,159449000.0,-385131000.0,-43563000.0,306741000.0,-175616000.0,-290706000.0,-377326000.0,-157473000.0,-253904000.0,-3174000.0,-414080000.0,-484665000,2014-12-31,87.28823852539062,87.96131896972656,85.96402740478516,86.11766052246094,64.87380218505861,1316277.0
2015-03-31,606802000.0,-254493000.0,352309000.0,-182614000.0,-58492000.0,-124122000.0,169695000.0,-59536000.0,-80882000.0,110159000,-121000.0,110038000,-971000.0,109067000,16179000.0,104077000,84593000,1067568000.0,110477000.0,1376717000.0,13832265000.0,739417000.0,3312652000.0,17884334000.0,19261051000,8749763000.0,9543751000.0,1247332000.0,1368862000.0,10912613000,6942714000.0,-2006439000.0,8348438000.0,19261051000,125246000.0,131112000.0,10233000.0,-72075000.0,194516000.0,-88052000.0,230381000.0,149871000.0,-137931000.0,-107431000.0,-2939000.0,-475296000.0,-130909000,2015-03-31,90.59822082519531,91.0509262084961,90.1374282836914,90.54163360595705,68.58856964111328,2095107.0
2015-06-30,616288000.0,-242690000.0,373598000.0,-176146000.0,-39189000.0,-136957000.0,197452000.0,-65699000.0,-86426000.0,131753000,-4061000.0,127692000,88072000.0,215764000,-364000.0,186016000,165651000,516337000.0,115049000.0,759243000.0,14326669000.0,725967000.0,3774028000.0,18826664000.0,19585907000,9000127000.0,9821309000.0,1247463000.0,1366394000.0,11187703000,7168667000.0,-1958546000.0,8398204000.0,19585907000,215400000.0,141830000.0,-118387000.0,-248743000.0,-9900000.0,-112918000.0,-414185000.0,-624473000.0,-139078000.0,246317000.0,0.0,83142000.0,-551231000,2015-06-30,77.92239379882812,77.92239379882812,76.43492126464844,76.74211883544922,58.49810409545898,1162656.0
2015-09-30,627596000.0,-256561000.0,371035000.0,-178077000.0,-36157000.0,-141920000.0,192958000.0,-90844000.0,-92184000.0,102114000,101519000.0,203633000,-2856000.0,200777000,34463000.0,219234000,198870000,788137000.0,108106000.0,1004208000.0,14479784000.0,708341000.0,3779593000.0,18967718000.0,19971926000,9624458000.0,10448909000.0,847594000.0,964631000.0,11413540000,7240285000.0,-1878716000.0,8558386000.0,19971926000,235240000.0,147552000.0,-159304000.0,35421000.0,258909000.0,-138616000.0,-36756000.0,-5781000.0,-139149000.0,197897000.0,-1961000.0,18672000.0,271800000,2015-09-30,73.83184814453125,74.01778411865234,72.62732696533203,73.09619903564453,56.09024429321289,1249617.0
2015-12-31,134809000.0,-70767000.0,64042000.0,7778000.0,-15418000.0,23196000.0,71820000.0,8102000.0,-22566000.0,79922000,29622000.0,109544000,767000.0,110311000,173233000.0,251107000,230742000,1835707000.0,98062000.0,2041568000.0,14671870000.0,725758000.0,3704097000.0,19101725000.0,21143293000,9957668000.0,10743222000.0,1577297000.0,1694772000.0,12437994000,7140500000.0,-1766780000.0,8705299000.0,21143293000,283544000.0,145713000.0,-317136000.0,116445000.0,228566000.0,-136233000.0,147587000.0,-252041000.0,-139171000.0,1195511000.0,-2573000.0,992341000.0,968866000,2015-12-31,81.66532135009766,81.86742401123047,80.75181579589844,80.80841064453125,62.40220642089844,715605.0
2016-03-31,613037000.0,-256349000.0,356688000.0,-191661000.0,-48704000.0,-142957000.0,165027000.0,-89927000.0,-96971000.0,75100000,-164593000.0,-89493000,-2831000.0,-92324000,716000.0,-93799000,-114163000,1673566000.0,97345000.0,1880058000.0,14585566000.0,728787000.0,3678963000.0,18993316000.0,20873374000,10291942000.0,11063720000.0,1215590000.0,1332414000.0,12396134000,7194565000.0,-1999994000.0,8477240000.0,20873374000,-91608000.0,150648000.0,153153000.0,59339000.0,271532000.0,-127283000.0,-75314000.0,-235137000.0,-139231000.0,-22117000.0,-185000.0,-197188000.0,-160793000,2016-03-31,75.94988250732422,76.49959564208984,75.77202606201172,76.3379135131836,59.36025619506836,962757.0
2016-06-30,621708000.0,-245138000.0,376570000.0,-186877000.0,-45564000.0,-141313000.0,189693000.0,-78309000.0,-95340000.0,111384000,156632000.0,268016000,-2109000.0,265907000,2475000.0,240826000,220463000,1644067000.0,95623000.0,1834318000.0,14734699000.0,718639000.0,3786074000.0,19239412000.0,21073730000,10226912000.0,11029413000.0,1331953000.0,1451245000.0,12480658000,7143102000.0,-1898505000.0,8593072000.0,21073730000,268382000.0,148893000.0,-149312000.0,-220690000.0,47273000.0,-149931000.0,-30542000.0,-205805000.0,-139328000.0,315248000.0,-1000.0,114514000.0,-44018000,2016-06-30,80.29102325439453,80.94583892822266,79.65238189697266,80.93775177001953,63.35608673095703,1623315.0
2016-09-30,502753000.0,-213762000.0,288991000.0,-139461000.0,-33584000.0,-105877000.0,149530000.0,-68374000.0,-73262000.0,81156000,-1069000.0,80087000,-4563000.0,75524000,25080000.0,92580000,66125000,1352697000.0,94057000.0,1558695000.0,14836730000.0,717551000.0,3746393000.0,19300674000.0,20859369000,10328784000.0,11091013000.0,1332688000.0,1451047000.0,12542060000,7146757000.0,-1951411000.0,8317309000.0,20859369000,100604000.0,146499000.0,-22779000.0,29285000.0,253609000.0,-149427000.0,-83921000.0,-245104000.0,-142310000.0,115919000.0,-246250000.0,-282562000.0,-274057000,2016-09-30,82.6192398071289,82.8779296875,81.77849578857422,81.81891632080078,64.43335723876953,906845.0
2016-12-31,266244000.0,-129317000.0,136927000.0,-51880000.0,-15791000.0,-30876000.0,85047000.0,99653000.0,-40332000.0,184700000,141623000.0,326323000,1580000.0,327903000,376641000.0,667310000,651181000,1501027000.0,61069000.0,1657128000.0,11606306000.0,665836000.0,6885577000.0,19157719000.0,20814847000,8510382000.0,10463300000.0,1333422000.0,1454605000.0,11917905000,7160874000.0,-1419382000.0,8896942000.0,20814847000,704544000.0,149230000.0,-487212000.0,56104000.0,422666000.0,-179924000.0,-106140000.0,-207064000.0,-135229000.0,99858000.0,0.0,-80918000.0,134684000,2016-12-30,83.18512725830078,84.59983825683594,82.78900909423828,84.37348175048828,66.92529296875,1145957.0
2017-03-31,508058000.0,-220659000.0,287399000.0,-154834000.0,-47237000.0,-105128000.0,132565000.0,-74403000.0,-76029000.0,58162000,2218000.0,60380000,-1851000.0,58529000,15318000.0,63881000,47752000,1484814000.0,86753000.0,1669758000.0,14861987000.0,643641000.0,3556062000.0,19061690000.0,20731448000,9732436000.0,10442957000.0,1334157000.0,1459090000.0,11902047000,7190875000.0,-1506236000.0,8829401000.0,20731448000,73847000.0,145886000.0,11513000.0,70039000.0,301285000.0,-98227000.0,-63354000.0,-156654000.0,-150461000.0,-4458000.0,-264000.0,-160948000.0,-16317000,2017-03-31,81.09134674072266,81.68148803710938,80.63864135742188,81.09134674072266,64.74885559082031,1170078.0
2017-06-30,511087000.0,-215700000.0,295387000.0,-141317000.0,-35405000.0,-105123000.0,154070000.0,-25836000.0,-76248000.0,128234000,529000.0,128763000,610000.0,129373000,18111000.0,132101000,115972000,1471303000.0,83768000.0,1641457000.0,14912587000.0,643181000.0,3692065000.0,19247833000.0,20889290000,9930095000.0,10628519000.0,1334891000.0,1439457000.0,12067976000,7287390000.0,-1524806000.0,8821314000.0,20889290000,147484000.0,144012000.0,-33925000.0,-242639000.0,14932000.0,-92846000.0,-82918000.0,-94875000.0,-150614000.0,217416000.0,-21000.0,54627000.0,-25316000,2017-06-30,75.55375671386719,76.20857238769531,75.06871795654297,75.90945434570312,61.06912612915039,1450135.0
2017-09-30,528755000.0,-225226000.0,303529000.0,-141233000.0,-34286000.0,-104972000.0,162296000.0,-125846000.0,-77737000.0,36450000,1914000.0,38364000,-1188000.0,37176000,-47930000.0,-12898000,-29026000,1282230000.0,54769000.0,1440552000.0,11777539000.0,544895000.0,3079134000.0,15401568000.0,16842120000,8543706000.0,9257604000.0,1219995000.0,1326239000.0,10583843000,7509394000.0,-4098127000.0,6258277000.0,16842120000,-10754000.0,117641000.0,146752000.0,91769000.0,345408000.0,-83643000.0,-63785000.0,197234000.0,-129863000.0,-161025000.0,-133000.0,-714557000.0,-171915000,2017-09-29,77.19999694824219,77.48999786376953,76.31999969482422,76.87999725341797,62.32473373413086,1400400.0
